,32supx,4SWHMc,e3y7tj,QRRsiL,5pS65p,YB7Zxj,BYjiah,cWAMxe
59,0.0,10.0,64.0,273.0,47.0,128.0,1334.0,99.0
60,0.0,10.0,64.0,273.0,47.0,128.0,1334.0,99.0
61,0.0,10.0,64.0,274.0,47.0,129.0,1339.0,99.0
62,0.0,10.0,64.0,274.0,47.0,129.0,1341.0,99.0
63,0.0,11.0,67.0,309.0,53.0,140.0,1475.0,112.0
64,0.0,11.0,68.0,319.0,56.0,146.0,1545.0,114.0
65,0.0,13.0,68.0,324.0,56.0,150.0,1589.0,114.0
66,0.0,13.0,68.0,325.0,56.0,150.0,1594.0,114.0
67,0.0,13.0,68.0,325.0,56.0,150.0,1597.0,114.0
68,0.0,13.0,68.0,326.0,56.0,150.0,1608.0,114.0
69,0.0,13.0,68.0,326.0,56.0,150.0,1609.0,114.0
70,0.0,13.0,68.0,326.0,56.0,150.0,1617.0,114.0
71,0.0,13.0,69.0,334.0,56.0,151.0,1654.0,117.0
72,0.0,13.0,69.0,334.0,56.0,151.0,1658.0,117.0
73,0.0,13.0,69.0,340.0,56.0,157.0,1724.0,120.0
74,0.0,13.0,69.0,340.0,56.0,158.0,1734.0,121.0
75,0.0,13.0,69.0,344.0,56.0,159.0,1750.0,123.0
76,0.0,13.0,69.0,344.0,56.0,159.0,1755.0,123.0
77,0.0,14.0,70.0,364.0,58.0,164.0,1803.0,126.0
78,0.0,22.0,73.0,443.0,66.0,213.0,1972.0,144.0
79,0.0,22.0,73.0,448.0,67.0,228.0,1997.0,149.0
80,0.0,24.0,76.0,491.0,77.0,257.0,2139.0,165.0
81,0.0,24.0,76.0,494.0,77.0,260.0,2154.0,165.0
82,1.0,31.0,96.0,589.0,107.0,333.0,2356.0,214.0
83,1.0,31.0,96.0,609.0,109.0,340.0,2412.0,216.0
84,2.0,32.0,99.0,625.0,113.0,348.0,2473.0,222.0
85,2.0,32.0,99.0,625.0,112.0,347.0,2475.0,223.0
86,2.0,32.0,99.0,633.0,112.0,350.0,2494.0,223.0
87,2.0,35.0,103.0,687.0,115.0,386.0,2629.0,241.0
88,2.0,37.0,105.0,705.0,122.0,395.0,2763.0,246.0
89,2.0,37.0,105.0,705.0,122.0,396.0,2821.0,247.0
90,2.0,40.0,117.0,774.0,132.0,430.0,2955.0,261.0
91,2.0,42.0,123.0,822.0,143.0,452.0,3077.0,283.0
92,2.0,43.0,125.0,846.0,147.0,458.0,3133.0,292.0
93,2.0,43.0,125.0,847.0,147.0,458.0,3139.0,293.0
94,2.0,43.0,126.0,858.0,147.0,460.0,3180.0,295.0
95,2.0,43.0,126.0,859.0,147.0,460.0,3187.0,295.0
96,2.0,44.0,133.0,901.0,157.0,484.0,3321.0,314.0
97,2.0,44.0,140.0,943.0,167.0,509.0,3412.0,326.0
98,2.0,44.0,140.0,944.0,167.0,508.0,3408.0,326.0
99,2.0,45.0,139.0,951.0,172.0,515.0,3428.0,323.0
100,2.0,45.0,139.0,951.0,172.0,515.0,3418.0,322.0
101,2.0,45.0,142.0,984.0,177.0,536.0,3512.0,335.0
102,2.0,45.0,140.0,976.0,177.0,535.0,3477.0,331.0
103,2.0,45.0,141.0,980.0,178.0,538.0,3516.0,334.0
104,2.0,42.0,129.0,942.0,168.0,520.0,3375.0,315.0
105,2.0,42.0,129.0,942.0,168.0,520.0,3374.0,315.0
106,2.0,43.0,129.0,945.0,168.0,524.0,3389.0,318.0
107,2.0,43.0,128.0,943.0,167.0,520.0,3366.0,317.0
108,2.0,43.0,128.0,943.0,167.0,520.0,3365.0,317.0
109,2.0,41.0,120.0,898.0,157.0,500.0,3246.0,296.0
110,2.0,42.0,121.0,928.0,159.0,518.0,3352.0,301.0
111,2.0,42.0,120.0,920.0,158.0,511.0,3329.0,299.0
112,2.0,42.0,120.0,915.0,159.0,508.0,3316.0,300.0
113,2.0,42.0,120.0,915.0,159.0,508.0,3317.0,300.0
114,2.0,42.0,116.0,903.0,160.0,499.0,3252.0,297.0
115,2.0,42.0,116.0,904.0,160.0,500.0,3255.0,298.0
116,2.0,44.0,111.0,903.0,159.0,502.0,3222.0,294.0
117,2.0,44.0,111.0,906.0,160.0,504.0,3239.0,294.0
118,2.0,43.0,111.0,908.0,159.0,502.0,3224.0,294.0
119,2.0,43.0,107.0,897.0,153.0,499.0,3166.0,287.0
120,2.0,44.0,107.0,903.0,153.0,501.0,3194.0,287.0
121,2.0,41.0,101.0,884.0,149.0,486.0,3118.0,280.0
122,2.0,41.0,102.0,915.0,153.0,498.0,3218.0,285.0
123,2.0,41.0,102.0,916.0,153.0,497.0,3234.0,285.0
124,2.0,48.0,103.0,968.0,159.0,524.0,3656.0,292.0
125,2.0,47.0,102.0,947.0,158.0,519.0,3646.0,287.0
126,4.0,49.0,107.0,1043.0,164.0,584.0,3769.0,319.0
127,4.0,51.0,112.0,1072.0,168.0,598.0,3866.0,329.0
128,4.0,51.0,112.0,1075.0,168.0,601.0,3887.0,329.0
129,4.0,52.0,113.0,1088.0,167.0,605.0,3921.0,329.0
130,4.0,52.0,121.0,1105.0,171.0,608.0,4008.0,333.0
131,5.0,54.0,123.0,1189.0,174.0,649.0,4277.0,345.0
132,5.0,54.0,126.0,1211.0,175.0,656.0,4438.0,348.0
133,5.0,56.0,126.0,1220.0,175.0,658.0,4511.0,348.0
134,5.0,62.0,129.0,1285.0,189.0,713.0,4911.0,354.0
135,5.0,62.0,129.0,1288.0,189.0,714.0,4923.0,354.0
136,5.0,61.0,131.0,1293.0,189.0,714.0,4943.0,355.0
137,5.0,61.0,128.0,1263.0,185.0,703.0,4870.0,344.0
138,5.0,61.0,128.0,1266.0,181.0,699.0,4861.0,342.0
139,5.0,61.0,128.0,1264.0,181.0,698.0,4849.0,342.0
140,5.0,61.0,128.0,1267.0,181.0,700.0,4869.0,342.0
141,5.0,63.0,131.0,1284.0,183.0,710.0,4944.0,349.0
142,5.0,63.0,131.0,1285.0,183.0,711.0,4941.0,349.0
143,5.0,63.0,133.0,1291.0,185.0,720.0,5019.0,353.0
144,5.0,63.0,133.0,1290.0,185.0,720.0,5014.0,353.0
145,5.0,63.0,132.0,1283.0,185.0,719.0,4983.0,351.0
146,5.0,62.0,132.0,1281.0,186.0,713.0,4941.0,346.0
147,5.0,62.0,132.0,1279.0,185.0,712.0,4935.0,345.0
148,5.0,63.0,133.0,1304.0,190.0,731.0,5034.0,350.0
149,5.0,57.0,129.0,1233.0,180.0,673.0,4894.0,327.0
150,5.0,57.0,129.0,1232.0,180.0,673.0,4885.0,327.0
151,6.0,57.0,135.0,1282.0,192.0,702.0,5027.0,344.0
152,5.0,57.0,135.0,1282.0,192.0,701.0,5008.0,344.0
153,5.0,57.0,135.0,1285.0,192.0,700.0,5043.0,344.0
154,5.0,55.0,132.0,1244.0,182.0,671.0,4936.0,328.0
155,5.0,55.0,132.0,1241.0,182.0,669.0,4924.0,328.0
156,4.0,47.0,110.0,1111.0,152.0,562.0,4697.0,265.0
157,4.0,47.0,110.0,1110.0,152.0,561.0,4676.0,264.0
158,4.0,47.0,111.0,1122.0,151.0,573.0,4746.0,266.0
159,4.0,45.0,112.0,1115.0,151.0,570.0,4786.0,261.0
160,4.0,44.0,112.0,1103.0,151.0,570.0,4760.0,261.0
161,4.0,44.0,112.0,1106.0,152.0,572.0,4784.0,261.0
162,4.0,42.0,110.0,1090.0,147.0,563.0,4685.0,256.0
163,4.0,40.0,98.0,1038.0,137.0,536.0,4575.0,241.0
164,5.0,42.0,100.0,1075.0,144.0,559.0,4695.0,254.0
165,5.0,43.0,99.0,1069.0,142.0,566.0,4758.0,255.0
166,5.0,41.0,90.0,1033.0,137.0,548.0,4713.0,237.0
167,5.0,41.0,89.0,1022.0,136.0,548.0,4669.0,235.0
168,5.0,41.0,89.0,1023.0,136.0,550.0,4668.0,235.0
169,5.0,41.0,93.0,1061.0,144.0,575.0,4793.0,245.0
170,5.0,43.0,88.0,1048.0,139.0,561.0,4750.0,232.0
171,7.0,43.0,87.0,1031.0,131.0,560.0,4816.0,225.0
172,7.0,44.0,86.0,1029.0,131.0,557.0,4803.0,228.0
173,7.0,43.0,85.0,1014.0,126.0,554.0,4772.0,227.0
174,7.0,47.0,89.0,1054.0,134.0,572.0,4874.0,241.0
175,7.0,58.0,95.0,1047.0,145.0,571.0,4873.0,237.0
176,8.0,66.0,127.0,1147.0,167.0,636.0,5101.0,255.0
177,8.0,68.0,127.0,1147.0,167.0,638.0,5122.0,257.0
178,8.0,65.0,124.0,1096.0,158.0,592.0,4930.0,254.0
179,8.0,65.0,129.0,1108.0,160.0,598.0,4971.0,254.0
180,8.0,68.0,134.0,1121.0,165.0,609.0,4982.0,247.0
181,11.0,85.0,170.0,1242.0,206.0,708.0,5253.0,310.0
182,11.0,85.0,171.0,1247.0,206.0,709.0,5264.0,315.0
183,11.0,88.0,175.0,1247.0,208.0,697.0,5235.0,320.0
184,11.0,90.0,176.0,1254.0,210.0,698.0,5253.0,327.0
185,11.0,90.0,176.0,1245.0,209.0,696.0,5184.0,327.0
186,11.0,94.0,185.0,1278.0,216.0,723.0,5335.0,338.0
187,11.0,95.0,188.0,1299.0,223.0,742.0,5415.0,351.0
188,11.0,103.0,205.0,1352.0,240.0,778.0,5523.0,375.0
189,11.0,98.0,200.0,1221.0,238.0,705.0,5306.0,340.0
190,9.0,98.0,200.0,1208.0,236.0,698.0,5223.0,337.0
191,9.0,98.0,198.0,1215.0,240.0,698.0,5229.0,342.0
192,9.0,102.0,198.0,1206.0,243.0,695.0,5190.0,342.0
193,9.0,102.0,202.0,1207.0,243.0,692.0,5159.0,347.0
194,9.0,104.0,204.0,1210.0,245.0,693.0,5188.0,349.0
195,9.0,105.0,212.0,1197.0,247.0,701.0,5204.0,355.0
196,9.0,105.0,212.0,1197.0,250.0,707.0,5220.0,356.0
197,8.0,106.0,210.0,1187.0,250.0,701.0,5147.0,349.0
198,8.0,106.0,209.0,1181.0,250.0,697.0,5080.0,345.0
199,9.0,127.0,240.0,1353.0,307.0,825.0,5471.0,413.0
200,10.0,129.0,243.0,1370.0,310.0,833.0,5546.0,415.0
201,10.0,129.0,243.0,1371.0,310.0,833.0,5545.0,415.0
202,10.0,129.0,245.0,1385.0,315.0,843.0,5606.0,418.0
203,10.0,129.0,242.0,1371.0,315.0,842.0,5589.0,418.0
204,10.0,130.0,236.0,1374.0,316.0,852.0,5550.0,416.0
205,10.0,138.0,250.0,1439.0,337.0,908.0,5732.0,442.0
206,10.0,137.0,251.0,1439.0,342.0,919.0,5747.0,446.0
207,10.0,140.0,254.0,1456.0,351.0,928.0,5799.0,455.0
208,10.0,139.0,254.0,1432.0,348.0,922.0,5683.0,452.0
209,10.0,145.0,256.0,1448.0,351.0,929.0,5689.0,452.0
210,10.0,148.0,258.0,1476.0,354.0,944.0,5774.0,467.0
211,10.0,148.0,258.0,1475.0,354.0,948.0,5768.0,467.0
212,10.0,150.0,260.0,1491.0,355.0,958.0,5843.0,472.0
213,10.0,150.0,260.0,1496.0,356.0,962.0,5865.0,473.0
214,12.0,156.0,268.0,1538.0,374.0,1005.0,5956.0,493.0
215,12.0,157.0,266.0,1535.0,373.0,998.0,5940.0,490.0
216,12.0,158.0,265.0,1528.0,371.0,990.0,5881.0,487.0
217,12.0,158.0,265.0,1528.0,371.0,990.0,5885.0,487.0
218,12.0,159.0,265.0,1540.0,373.0,992.0,5928.0,487.0
219,12.0,159.0,265.0,1540.0,373.0,995.0,5900.0,487.0
220,12.0,163.0,267.0,1557.0,375.0,1017.0,5985.0,494.0
221,12.0,163.0,274.0,1582.0,381.0,1037.0,6098.0,501.0
222,12.0,163.0,273.0,1561.0,377.0,1020.0,6041.0,499.0
223,14.0,169.0,287.0,1658.0,387.0,1076.0,6276.0,516.0
224,14.0,171.0,286.0,1678.0,391.0,1087.0,6377.0,519.0
225,13.0,177.0,288.0,1678.0,387.0,1089.0,6438.0,519.0
226,13.0,180.0,289.0,1701.0,390.0,1117.0,6542.0,529.0
227,13.0,180.0,289.0,1706.0,390.0,1118.0,6566.0,532.0
228,13.0,180.0,289.0,1712.0,390.0,1120.0,6599.0,533.0
229,13.0,181.0,289.0,1723.0,390.0,1124.0,6628.0,535.0
230,13.0,182.0,289.0,1728.0,390.0,1131.0,6658.0,536.0
231,13.0,182.0,289.0,1727.0,390.0,1131.0,6658.0,536.0
232,13.0,182.0,285.0,1695.0,386.0,1111.0,6494.0,529.0
233,13.0,182.0,285.0,1689.0,385.0,1111.0,6452.0,529.0
234,14.0,187.0,299.0,1756.0,396.0,1153.0,6621.0,559.0
235,14.0,186.0,302.0,1767.0,396.0,1162.0,6669.0,562.0
236,14.0,189.0,313.0,1763.0,404.0,1162.0,6683.0,568.0
237,14.0,189.0,314.0,1762.0,404.0,1163.0,6685.0,568.0
238,13.0,187.0,310.0,1727.0,399.0,1138.0,6561.0,551.0
239,16.0,212.0,353.0,1883.0,446.0,1245.0,6832.0,621.0
240,16.0,213.0,354.0,1905.0,446.0,1260.0,6917.0,622.0
241,16.0,213.0,354.0,1912.0,447.0,1263.0,6968.0,623.0
242,16.0,216.0,356.0,1904.0,450.0,1258.0,6986.0,624.0
243,16.0,210.0,354.0,1879.0,442.0,1243.0,6905.0,619.0
244,20.0,220.0,376.0,2000.0,468.0,1335.0,7178.0,670.0
245,18.0,219.0,367.0,1972.0,466.0,1308.0,7057.0,660.0
246,18.0,219.0,367.0,1971.0,466.0,1306.0,7046.0,658.0
247,18.0,213.0,338.0,1846.0,441.0,1229.0,6727.0,627.0
248,18.0,188.0,325.0,1808.0,417.0,1194.0,6593.0,614.0
249,18.0,189.0,326.0,1840.0,421.0,1220.0,6688.0,624.0
250,17.0,189.0,327.0,1859.0,424.0,1231.0,6738.0,627.0
251,17.0,184.0,326.0,1868.0,422.0,1240.0,6738.0,631.0
252,17.0,186.0,324.0,1853.0,419.0,1234.0,6773.0,635.0
253,17.0,176.0,317.0,1826.0,403.0,1207.0,6691.0,624.0
254,17.0,171.0,290.0,1756.0,376.0,1140.0,6615.0,590.0
255,14.0,171.0,290.0,1753.0,376.0,1140.0,6600.0,586.0
256,14.0,171.0,290.0,1752.0,375.0,1140.0,6591.0,586.0
257,14.0,170.0,289.0,1736.0,371.0,1134.0,6549.0,583.0
258,14.0,168.0,292.0,1739.0,369.0,1139.0,6550.0,579.0
259,14.0,168.0,292.0,1746.0,369.0,1143.0,6597.0,582.0
260,14.0,166.0,286.0,1718.0,364.0,1122.0,6507.0,571.0
261,14.0,165.0,282.0,1710.0,360.0,1112.0,6476.0,566.0
262,14.0,161.0,268.0,1654.0,348.0,1075.0,6358.0,547.0
263,14.0,159.0,269.0,1663.0,349.0,1073.0,6365.0,545.0
264,14.0,157.0,272.0,1650.0,344.0,1071.0,6347.0,546.0
265,14.0,157.0,272.0,1652.0,344.0,1072.0,6356.0,547.0
266,15.0,155.0,297.0,1723.0,365.0,1119.0,6454.0,579.0
267,15.0,155.0,294.0,1713.0,362.0,1115.0,6430.0,573.0
268,15.0,152.0,293.0,1708.0,363.0,1113.0,6387.0,572.0
269,15.0,153.0,289.0,1707.0,359.0,1101.0,6372.0,568.0
270,15.0,149.0,289.0,1695.0,356.0,1098.0,6333.0,568.0
271,15.0,150.0,287.0,1684.0,353.0,1090.0,6291.0,569.0
272,15.0,148.0,282.0,1656.0,352.0,1064.0,6233.0,553.0
273,14.0,140.0,266.0,1573.0,319.0,986.0,6056.0,507.0
274,13.0,140.0,268.0,1577.0,319.0,987.0,6050.0,509.0
275,13.0,143.0,269.0,1597.0,322.0,1003.0,6111.0,513.0
276,13.0,142.0,269.0,1574.0,317.0,990.0,6033.0,511.0
277,13.0,143.0,271.0,1579.0,319.0,989.0,6039.0,511.0
278,13.0,141.0,276.0,1581.0,313.0,990.0,6032.0,511.0
279,13.0,142.0,269.0,1572.0,300.0,972.0,5956.0,498.0
280,13.0,140.0,269.0,1549.0,299.0,961.0,5852.0,490.0
281,13.0,138.0,266.0,1561.0,298.0,966.0,5855.0,492.0
282,15.0,138.0,267.0,1588.0,296.0,980.0,5936.0,495.0
283,15.0,134.0,265.0,1584.0,293.0,974.0,5913.0,494.0
284,16.0,140.0,273.0,1646.0,314.0,1028.0,6013.0,510.0
285,16.0,141.0,278.0,1670.0,317.0,1035.0,6112.0,516.0
286,16.0,142.0,277.0,1691.0,319.0,1041.0,6117.0,518.0
287,16.0,142.0,277.0,1688.0,319.0,1032.0,6116.0,519.0
288,15.0,138.0,271.0,1635.0,307.0,996.0,5924.0,499.0
289,16.0,139.0,272.0,1645.0,308.0,1003.0,5961.0,501.0
290,16.0,142.0,279.0,1691.0,315.0,1033.0,6114.0,514.0
291,16.0,142.0,279.0,1690.0,316.0,1037.0,6142.0,515.0
292,16.0,142.0,278.0,1684.0,317.0,1036.0,6154.0,515.0
293,16.0,137.0,273.0,1655.0,309.0,1017.0,6115.0,511.0
294,16.0,136.0,274.0,1651.0,310.0,1007.0,6093.0,509.0
295,16.0,137.0,273.0,1669.0,310.0,1015.0,6109.0,514.0
296,16.0,137.0,272.0,1666.0,310.0,1014.0,6101.0,512.0
297,14.0,135.0,264.0,1604.0,301.0,970.0,5911.0,496.0
298,14.0,129.0,259.0,1547.0,285.0,928.0,5633.0,473.0
299,15.0,131.0,261.0,1604.0,292.0,959.0,5829.0,485.0
300,15.0,134.0,273.0,1660.0,301.0,985.0,6002.0,507.0
301,17.0,141.0,296.0,1763.0,321.0,1044.0,6187.0,549.0
302,17.0,142.0,296.0,1752.0,321.0,1040.0,6116.0,546.0
303,17.0,142.0,296.0,1754.0,320.0,1040.0,6108.0,547.0
304,18.0,145.0,296.0,1783.0,325.0,1051.0,6216.0,550.0
305,18.0,145.0,296.0,1784.0,325.0,1051.0,6225.0,550.0
306,18.0,145.0,296.0,1792.0,328.0,1060.0,6255.0,553.0
307,18.0,144.0,296.0,1797.0,329.0,1062.0,6292.0,555.0
308,18.0,145.0,286.0,1771.0,320.0,1039.0,6296.0,529.0
309,18.0,154.0,301.0,1856.0,335.0,1088.0,6427.0,571.0
310,16.0,144.0,284.0,1795.0,310.0,1048.0,6309.0,544.0
311,16.0,144.0,285.0,1804.0,311.0,1049.0,6326.0,544.0
312,16.0,126.0,247.0,1670.0,276.0,953.0,6102.0,483.0
313,14.0,122.0,242.0,1644.0,271.0,941.0,6001.0,483.0
314,14.0,125.0,247.0,1665.0,277.0,957.0,6096.0,493.0
315,14.0,126.0,248.0,1671.0,277.0,958.0,6152.0,495.0
316,14.0,129.0,243.0,1672.0,275.0,951.0,6186.0,495.0
317,15.0,132.0,244.0,1689.0,279.0,961.0,6287.0,497.0
318,12.0,122.0,226.0,1569.0,259.0,870.0,6080.0,449.0
319,12.0,124.0,234.0,1603.0,269.0,900.0,6203.0,464.0
320,12.0,125.0,238.0,1634.0,270.0,913.0,6314.0,472.0
321,12.0,126.0,243.0,1672.0,280.0,926.0,6429.0,484.0
322,12.0,126.0,243.0,1672.0,280.0,926.0,6437.0,484.0
323,12.0,123.0,242.0,1626.0,276.0,892.0,6333.0,475.0
324,12.0,123.0,244.0,1631.0,273.0,899.0,6399.0,477.0
325,12.0,121.0,243.0,1618.0,273.0,887.0,6273.0,476.0
326,12.0,121.0,243.0,1609.0,272.0,884.0,6235.0,475.0
327,12.0,121.0,242.0,1609.0,272.0,886.0,6214.0,474.0
328,12.0,114.0,236.0,1563.0,261.0,862.0,6082.0,459.0
329,12.0,109.0,231.0,1548.0,258.0,857.0,6056.0,460.0
330,12.0,111.0,235.0,1591.0,261.0,886.0,6140.0,472.0
331,16.0,125.0,274.0,1732.0,296.0,991.0,6358.0,544.0
332,15.0,124.0,275.0,1735.0,296.0,990.0,6348.0,546.0
333,15.0,127.0,279.0,1758.0,297.0,1010.0,6402.0,551.0
334,15.0,124.0,275.0,1741.0,291.0,988.0,6292.0,544.0
335,15.0,123.0,275.0,1736.0,291.0,986.0,6279.0,543.0
336,16.0,127.0,277.0,1776.0,292.0,997.0,6325.0,547.0
337,16.0,127.0,277.0,1769.0,291.0,994.0,6302.0,546.0
338,16.0,125.0,273.0,1760.0,288.0,989.0,6232.0,538.0
339,16.0,125.0,275.0,1768.0,288.0,996.0,6250.0,546.0
340,13.0,120.0,245.0,1713.0,263.0,960.0,6417.0,502.0
341,14.0,128.0,252.0,1781.0,273.0,1010.0,6563.0,519.0
342,14.0,126.0,253.0,1781.0,275.0,1020.0,6586.0,514.0
343,14.0,126.0,253.0,1782.0,275.0,1020.0,6593.0,514.0
344,14.0,124.0,251.0,1761.0,275.0,1010.0,6543.0,508.0
345,14.0,125.0,247.0,1751.0,271.0,1011.0,6545.0,508.0
346,14.0,124.0,246.0,1744.0,269.0,1009.0,6520.0,509.0
347,14.0,124.0,246.0,1749.0,269.0,1010.0,6530.0,510.0
348,15.0,126.0,242.0,1754.0,264.0,1009.0,6528.0,508.0
349,19.0,130.0,245.0,1823.0,272.0,1051.0,6696.0,524.0
350,19.0,129.0,255.0,1830.0,272.0,1055.0,6716.0,529.0
351,19.0,125.0,248.0,1813.0,269.0,1044.0,6639.0,528.0
352,19.0,125.0,250.0,1816.0,269.0,1047.0,6682.0,528.0
353,20.0,125.0,251.0,1830.0,269.0,1051.0,6717.0,532.0
354,20.0,124.0,252.0,1847.0,271.0,1060.0,6781.0,534.0
355,20.0,127.0,261.0,1882.0,287.0,1078.0,6876.0,552.0
356,18.0,127.0,260.0,1855.0,286.0,1068.0,6794.0,550.0
357,19.0,123.0,252.0,1796.0,264.0,1015.0,6668.0,527.0
358,19.0,122.0,244.0,1753.0,258.0,998.0,6553.0,515.0
359,19.0,124.0,251.0,1786.0,265.0,1017.0,6640.0,523.0
360,19.0,129.0,277.0,1857.0,282.0,1072.0,6830.0,552.0
361,19.0,128.0,277.0,1849.0,282.0,1067.0,6798.0,550.0
362,19.0,127.0,277.0,1842.0,282.0,1066.0,6765.0,549.0
363,19.0,127.0,283.0,1861.0,283.0,1073.0,6806.0,558.0
364,19.0,127.0,283.0,1845.0,282.0,1058.0,6774.0,552.0
365,23.0,134.0,319.0,1948.0,305.0,1129.0,6881.0,598.0
366,23.0,133.0,319.0,1935.0,303.0,1123.0,6767.0,594.0
367,23.0,134.0,320.0,1987.0,306.0,1150.0,6983.0,598.0
368,23.0,133.0,316.0,1962.0,302.0,1135.0,6859.0,592.0
369,23.0,132.0,315.0,1958.0,303.0,1130.0,6859.0,590.0
370,24.0,143.0,325.0,2072.0,325.0,1211.0,7234.0,629.0
371,24.0,144.0,326.0,2084.0,329.0,1210.0,7262.0,632.0
372,24.0,138.0,294.0,1905.0,306.0,1107.0,6793.0,574.0
373,23.0,134.0,292.0,1871.0,300.0,1080.0,6668.0,561.0
374,23.0,136.0,294.0,1880.0,302.0,1086.0,6739.0,563.0
375,22.0,137.0,295.0,1884.0,303.0,1087.0,6772.0,563.0
376,22.0,139.0,297.0,1945.0,305.0,1111.0,6915.0,572.0
377,22.0,139.0,299.0,1954.0,308.0,1119.0,6974.0,572.0
378,21.0,134.0,299.0,1936.0,306.0,1103.0,6923.0,566.0
379,21.0,134.0,302.0,1987.0,308.0,1122.0,7089.0,576.0
380,21.0,131.0,303.0,1965.0,298.0,1091.0,6923.0,572.0
381,21.0,132.0,308.0,1991.0,298.0,1094.0,7015.0,575.0
382,21.0,134.0,311.0,2019.0,300.0,1112.0,7163.0,576.0
383,21.0,127.0,296.0,1959.0,285.0,1070.0,7081.0,541.0
384,21.0,127.0,298.0,1966.0,285.0,1075.0,7092.0,540.0
385,21.0,129.0,300.0,1959.0,283.0,1079.0,7084.0,540.0
386,21.0,133.0,308.0,2026.0,291.0,1120.0,7212.0,557.0
387,21.0,132.0,309.0,2032.0,292.0,1121.0,7202.0,556.0
