,m5XiUJ
248,93.0
249,97.0
250,101.0
251,101.0
252,103.0
253,103.0
254,104.0
255,104.0
256,104.0
257,103.0
258,103.0
259,106.0
260,108.0
261,108.0
262,108.0
263,108.0
264,107.0
265,109.0
266,107.0
267,108.0
268,108.0
269,105.0
270,105.0
271,102.0
272,93.0
273,76.0
274,76.0
275,69.0
276,68.0
277,68.0
278,69.0
279,71.0
280,71.0
281,71.0
282,67.0
283,70.0
284,71.0
285,72.0
286,72.0
287,72.0
288,73.0
289,73.0
290,75.0
291,76.0
292,77.0
293,77.0
294,78.0
295,80.0
296,78.0
297,78.0
298,81.0
299,79.0
300,83.0
301,91.0
302,92.0
303,91.0
304,93.0
305,92.0
306,93.0
307,97.0
308,97.0
309,99.0
310,99.0
311,100.0
312,100.0
313,100.0
314,100.0
315,105.0
316,109.0
317,109.0
318,109.0
319,105.0
320,105.0
321,105.0
322,105.0
323,104.0
324,100.0
325,101.0
326,101.0
327,101.0
328,102.0
329,102.0
330,102.0
331,101.0
332,101.0
333,99.0
334,98.0
335,110.0
336,110.0
337,111.0
338,111.0
339,111.0
340,111.0
341,108.0
342,108.0
343,108.0
344,108.0
345,108.0
346,108.0
347,107.0
348,106.0
349,107.0
350,111.0
351,115.0
352,112.0
353,112.0
354,112.0
355,112.0
356,111.0
357,112.0
358,112.0
359,114.0
360,112.0
361,119.0
362,119.0
363,120.0
364,119.0
365,118.0
366,117.0
367,128.0
368,125.0
369,124.0
370,122.0
371,122.0
372,128.0
373,128.0
374,125.0
375,127.0
376,125.0
377,122.0
378,123.0
379,135.0
380,135.0
381,134.0
382,134.0
383,127.0
384,126.0
385,124.0
386,124.0
387,123.0
388,132.0
389,129.0
390,124.0
391,125.0
392,125.0
393,135.0
394,136.0
395,136.0
396,135.0
397,132.0
398,134.0
399,133.0
400,141.0
401,144.0
402,140.0
403,140.0
404,140.0
405,140.0
406,139.0
407,141.0
408,144.0
409,130.0
410,131.0
411,131.0
412,131.0
413,137.0
414,137.0
415,137.0
416,137.0
417,148.0
418,148.0
419,147.0
420,145.0
421,145.0
422,153.0
423,152.0
424,144.0
425,147.0
426,145.0
427,164.0
428,164.0
429,164.0
430,166.0
431,162.0
432,166.0
433,167.0
434,170.0
435,163.0
436,163.0
437,168.0
438,171.0
439,168.0
440,175.0
441,164.0
442,171.0
443,170.0
444,170.0
445,172.0
446,161.0
447,161.0
448,158.0
449,149.0
450,149.0
451,154.0
452,153.0
453,153.0
454,153.0
455,153.0
456,153.0
457,153.0
458,154.0
459,154.0
460,146.0
461,147.0
462,145.0
463,146.0
464,148.0
465,150.0
466,156.0
467,149.0
468,148.0
469,148.0
470,148.0
471,148.0
472,147.0
473,141.0
474,137.0
475,137.0
476,138.0
477,146.0
478,146.0
479,146.0
480,145.0
481,143.0
482,159.0
483,159.0
484,157.0
485,158.0
486,152.0
487,162.0
488,162.0
489,163.0
490,165.0
491,155.0
492,182.0
493,180.0
494,180.0
495,180.0
496,167.0
497,167.0
498,168.0
499,164.0
500,159.0
501,135.0
502,136.0
503,136.0
504,138.0
505,135.0
506,134.0
507,133.0
508,132.0
509,132.0
510,133.0
511,127.0
512,127.0
513,127.0
514,130.0
515,129.0
516,122.0
517,122.0
518,118.0
519,119.0
520,119.0
521,122.0
522,123.0
523,124.0
524,124.0
525,126.0
526,126.0
527,127.0
528,125.0
529,124.0
530,125.0
531,127.0
532,130.0
533,131.0
534,131.0
535,130.0
536,130.0
537,129.0
538,127.0
539,123.0
540,117.0
541,114.0
542,114.0
543,116.0
544,116.0
545,118.0
546,116.0
547,128.0
548,131.0
549,132.0
550,131.0
551,126.0
552,128.0
553,128.0
554,131.0
555,130.0
556,119.0
557,119.0
558,119.0
559,117.0
560,117.0
561,108.0
562,105.0
563,104.0
564,105.0
565,104.0
566,84.0
567,84.0
568,87.0
569,95.0
570,96.0
571,100.0
572,99.0
573,129.0
574,130.0
575,126.0
576,126.0
577,127.0
578,124.0
579,133.0
580,131.0
581,131.0
582,131.0
583,130.0
584,129.0
585,130.0
586,131.0
587,131.0
588,126.0
589,126.0
590,127.0
591,127.0
592,133.0
593,136.0
594,136.0
595,131.0
596,131.0
597,128.0
598,130.0
599,128.0
600,129.0
601,134.0
602,136.0
603,136.0
604,136.0
605,136.0
606,137.0
607,140.0
608,142.0
609,150.0
610,173.0
611,175.0
612,175.0
613,174.0
614,173.0
615,175.0
616,173.0
617,172.0
618,170.0
619,170.0
620,158.0
621,159.0
622,160.0
623,159.0
624,161.0
625,157.0
626,157.0
627,156.0
628,152.0
629,152.0
630,154.0
631,154.0
632,156.0
633,156.0
634,156.0
635,159.0
636,161.0
637,160.0
638,180.0
639,175.0
640,167.0
641,163.0
642,174.0
643,177.0
644,178.0
645,173.0
646,173.0
647,143.0
648,142.0
649,143.0
650,141.0
651,140.0
652,140.0
653,137.0
654,137.0
655,138.0
656,153.0
657,153.0
658,154.0
659,153.0
660,152.0
661,162.0
662,162.0
663,166.0
664,166.0
665,159.0
666,159.0
667,158.0
668,158.0
669,159.0
670,157.0
671,159.0
672,162.0
673,162.0
674,162.0
675,156.0
676,180.0
677,189.0
678,191.0
679,189.0
680,185.0
681,183.0
682,181.0
683,174.0
684,158.0
685,157.0
686,157.0
687,158.0
688,164.0
689,164.0
690,164.0
691,164.0
692,164.0
693,166.0
694,166.0
695,167.0
696,167.0
697,169.0
698,168.0
699,168.0
700,167.0
701,169.0
702,169.0
703,174.0
704,174.0
705,172.0
706,174.0
707,182.0
708,182.0
709,184.0
710,182.0
711,182.0
712,168.0
713,169.0
714,169.0
715,166.0
716,156.0
717,157.0
718,157.0
719,158.0
720,158.0
721,163.0
722,164.0
723,161.0
724,161.0
725,160.0
726,164.0
727,163.0
728,162.0
729,162.0
730,147.0
731,148.0
732,147.0
733,145.0
734,150.0
735,138.0
736,138.0
737,135.0
738,134.0
739,134.0
740,133.0
741,133.0
742,138.0
743,136.0
744,137.0
745,121.0
746,118.0
747,121.0
748,121.0
749,122.0
750,122.0
751,111.0
752,117.0
753,118.0
754,125.0
755,124.0
756,125.0
757,126.0
758,126.0
759,126.0
760,138.0
761,133.0
762,138.0
763,144.0
764,146.0
765,148.0
766,148.0
767,148.0
768,151.0
769,150.0
770,150.0
771,150.0
772,153.0
773,153.0
774,153.0
775,152.0
776,156.0
777,150.0
778,151.0
779,151.0
780,151.0
781,145.0
782,145.0
783,141.0
784,140.0
785,140.0
786,140.0
787,137.0
788,136.0
789,136.0
790,132.0
791,133.0
792,134.0
793,134.0
794,134.0
795,129.0
796,129.0
797,130.0
798,131.0
799,134.0
800,130.0
801,134.0
802,134.0
803,134.0
804,135.0
805,132.0
806,134.0
807,131.0
808,130.0
809,130.0
810,130.0
811,131.0
812,131.0
813,129.0
814,129.0
815,127.0
816,122.0
817,126.0
818,124.0
819,124.0
820,123.0
821,120.0
822,121.0
823,119.0
824,121.0
825,116.0
826,109.0
827,108.0
828,109.0
829,114.0
830,112.0
831,112.0
832,113.0
833,101.0
834,101.0
835,96.0
836,88.0
837,90.0
838,86.0
839,89.0
840,88.0
841,85.0
842,82.0
843,78.0
844,78.0
845,72.0
846,69.0
847,70.0
848,70.0
849,70.0
850,66.0
851,66.0
852,62.0
853,62.0
854,61.0
855,65.0
856,70.0
857,70.0
858,70.0
859,70.0
860,75.0
861,77.0
862,79.0
863,79.0
864,82.0
865,77.0
866,77.0
867,78.0
868,78.0
869,79.0
870,80.0
871,85.0
872,83.0
873,80.0
874,79.0
875,75.0
876,75.0
877,75.0
878,74.0
879,74.0
880,71.0
881,72.0
882,72.0
883,74.0
884,73.0
885,76.0
886,76.0
887,76.0
888,76.0
889,76.0
890,74.0
891,72.0
892,74.0
893,74.0
894,74.0
895,74.0
896,73.0
897,76.0
898,75.0
899,76.0
900,80.0
901,79.0
902,78.0
903,81.0
904,83.0
905,80.0
906,78.0
907,81.0
908,84.0
909,84.0
910,85.0
911,85.0
912,84.0
913,86.0
914,90.0
915,93.0
916,93.0
917,97.0
918,97.0
919,97.0
920,97.0
921,96.0
922,95.0
923,95.0
924,97.0
925,97.0
926,94.0
927,96.0
928,91.0
929,90.0
930,91.0
931,96.0
932,95.0
933,88.0
934,88.0
935,86.0
936,85.0
937,82.0
938,80.0
939,81.0
940,81.0
941,81.0
942,81.0
943,80.0
944,85.0
945,83.0
946,83.0
947,83.0
948,84.0
949,84.0
950,85.0
951,85.0
952,85.0
953,85.0
954,87.0
955,86.0
956,88.0
957,88.0
958,88.0
959,85.0
960,87.0
961,87.0
962,94.0
963,95.0
964,98.0
965,98.0
966,96.0
967,94.0
968,94.0
969,93.0
970,93.0
971,89.0
972,92.0
973,86.0
974,86.0
975,87.0
976,87.0
977,85.0
978,85.0
979,89.0
980,92.0
981,89.0
982,89.0
983,89.0
984,88.0
985,89.0
986,85.0
987,85.0
988,79.0
989,77.0
990,77.0
991,80.0
992,80.0
993,80.0
994,80.0
995,79.0
996,79.0
997,80.0
998,78.0
999,80.0
1000,80.0
1001,78.0
1002,78.0
1003,78.0
1004,76.0
1005,76.0
1006,77.0
1007,77.0
1008,78.0
1009,77.0
1010,74.0
1011,74.0
1012,73.0
1013,74.0
1014,76.0
1015,74.0
1016,75.0
1017,75.0
1018,72.0
1019,73.0
1020,72.0
1021,72.0
1022,74.0
1023,74.0
1024,76.0
1025,77.0
1026,77.0
1027,78.0
1028,75.0
1029,75.0
1030,78.0
1031,76.0
1032,76.0
1033,70.0
1034,68.0
1035,67.0
1036,67.0
1037,71.0
1038,68.0
1039,69.0
1040,70.0
1041,70.0
1042,71.0
1043,71.0
1044,71.0
1045,75.0
1046,68.0
1047,69.0
1048,64.0
1049,63.0
1050,63.0
1051,65.0
1052,66.0
1053,66.0
1054,63.0
1055,66.0
1056,66.0
1057,66.0
1058,68.0
1059,68.0
1060,64.0
1061,61.0
1062,60.0
1063,62.0
1064,62.0
1065,61.0
1066,61.0
1067,62.0
1068,61.0
1069,61.0
1070,60.0
1071,59.0
1072,60.0
1073,54.0
1074,57.0
1075,56.0
1076,55.0
1077,55.0
1078,55.0
1079,56.0
1080,58.0
1081,61.0
1082,66.0
1083,67.0
1084,67.0
1085,68.0
1086,69.0
1087,67.0
1088,67.0
1089,67.0
1090,67.0
1091,69.0
1092,71.0
1093,72.0
1094,72.0
1095,73.0
1096,71.0
1097,71.0
1098,70.0
1099,69.0
1100,71.0
1101,70.0
1102,69.0
1103,70.0
1104,69.0
1105,73.0
1106,75.0
1107,75.0
1108,76.0
1109,73.0
1110,75.0
1111,76.0
1112,76.0
1113,74.0
1114,72.0
1115,75.0
1116,78.0
1117,79.0
1118,79.0
1119,76.0
1120,77.0
1121,77.0
1122,77.0
1123,73.0
1124,71.0
1125,71.0
1126,69.0
1127,69.0
1128,68.0
1129,69.0
1130,69.0
1131,69.0
1132,71.0
1133,70.0
1134,72.0
1135,73.0
1136,73.0
1137,72.0
1138,72.0
1139,76.0
1140,78.0
1141,78.0
1142,78.0
1143,79.0
1144,80.0
1145,83.0
1146,96.0
1147,99.0
1148,98.0
1149,98.0
1150,98.0
1151,100.0
1152,101.0
1153,94.0
1154,91.0
1155,88.0
1156,88.0
1157,90.0
1158,90.0
1159,89.0
1160,89.0
1161,89.0
1162,89.0
1163,88.0
1164,86.0
1165,85.0
1166,83.0
1167,83.0
1168,89.0
1169,89.0
1170,95.0
1171,101.0
1172,100.0
1173,100.0
1174,99.0
1175,105.0
1176,105.0
1177,102.0
1178,98.0
1179,98.0
1180,102.0
1181,101.0
1182,101.0
1183,101.0
1184,97.0
1185,97.0
1186,99.0
1187,97.0
1188,97.0
1189,98.0
1190,96.0
1191,97.0
1192,97.0
1193,97.0
1194,97.0
1195,95.0
1196,95.0
1197,95.0
1198,95.0
1199,96.0
1200,96.0
1201,95.0
1202,95.0
1203,93.0
1204,95.0
1205,96.0
1206,94.0
1207,91.0
1208,90.0
1209,91.0
1210,92.0
1211,96.0
1212,97.0
1213,92.0
1214,90.0
1215,90.0
1216,90.0
1217,93.0
1218,94.0
1219,94.0
1220,75.0
1221,74.0
1222,72.0
1223,75.0
1224,75.0
1225,72.0
1226,72.0
1227,74.0
1228,74.0
1229,73.0
1230,73.0
1231,72.0
1232,74.0
1233,71.0
1234,73.0
1235,80.0
1236,80.0
1237,81.0
1238,81.0
1239,81.0
1240,82.0
1241,80.0
1242,77.0
1243,72.0
1244,64.0
1245,64.0
1246,63.0
1247,63.0
1248,61.0
1249,61.0
1250,61.0
1251,61.0
1252,57.0
1253,55.0
1254,59.0
1255,59.0
1256,61.0
1257,61.0
1258,61.0
1259,60.0
1260,60.0
1261,62.0
1262,63.0
1263,67.0
1264,67.0
1265,66.0
1266,66.0
1267,66.0
1268,66.0
1269,67.0
1270,66.0
1271,67.0
1272,67.0
1273,67.0
1274,68.0
1275,68.0
1276,66.0
1277,66.0
1278,66.0
1279,66.0
1280,67.0
1281,67.0
1282,71.0
1283,70.0
1284,69.0
1285,70.0
1286,69.0
1287,69.0
1288,70.0
1289,70.0
1290,76.0
1291,75.0
1292,79.0
1293,79.0
1294,77.0
1295,79.0
1296,77.0
1297,76.0
1298,77.0
1299,75.0
1300,75.0
1301,71.0
1302,71.0
1303,71.0
1304,70.0
1305,70.0
1306,69.0
1307,72.0
1308,72.0
1309,68.0
1310,67.0
1311,67.0
1312,67.0
1313,68.0
1314,67.0
1315,65.0
1316,66.0
1317,66.0
1318,66.0
1319,66.0
1320,66.0
1321,66.0
1322,66.0
1323,65.0
1324,65.0
1325,67.0
1326,69.0
1327,71.0
1328,71.0
1329,71.0
1330,69.0
1331,69.0
1332,69.0
1333,69.0
1334,68.0
1335,64.0
1336,63.0
1337,57.0
1338,61.0
1339,61.0
1340,61.0
1341,62.0
1342,61.0
1343,63.0
1344,63.0
1345,62.0
1346,63.0
1347,63.0
1348,62.0
1349,66.0
1350,71.0
1351,70.0
1352,73.0
1353,73.0
1354,72.0
1355,72.0
1356,71.0
1357,71.0
1358,72.0
1359,69.0
1360,69.0
1361,68.0
1362,68.0
1363,62.0
1364,67.0
1365,66.0
1366,65.0
1367,67.0
1368,65.0
1369,68.0
1370,66.0
1371,66.0
1372,67.0
1373,68.0
1374,68.0
1375,68.0
1376,68.0
1377,68.0
1378,67.0
1379,68.0
1380,70.0
1381,72.0
1382,72.0
1383,72.0
1384,72.0
1385,71.0
1386,71.0
1387,70.0
1388,69.0
1389,70.0
1390,74.0
1391,75.0
1392,76.0
1393,77.0
1394,75.0
1395,75.0
1396,75.0
1397,75.0
1398,75.0
1399,72.0
1400,70.0
1401,70.0
1402,68.0
1403,69.0
1404,70.0
1405,75.0
1406,78.0
1407,78.0
1408,81.0
1409,85.0
1410,93.0
1411,94.0
1412,90.0
1413,90.0
1414,98.0
1415,97.0
1416,99.0
1417,97.0
1418,97.0
1419,101.0
1420,100.0
1421,100.0
1422,100.0
1423,98.0
1424,106.0
1425,104.0
1426,101.0
1427,101.0
1428,102.0
1429,109.0
1430,115.0
1431,115.0
1432,112.0
1433,111.0
1434,112.0
1435,112.0
1436,113.0
1437,113.0
1438,109.0
1439,108.0
1440,111.0
1441,110.0
1442,110.0
1443,103.0
1444,103.0
1445,103.0
1446,102.0
1447,100.0
1448,100.0
1449,102.0
1450,98.0
1451,96.0
1452,98.0
1453,99.0
1454,99.0
1455,96.0
1456,96.0
1457,99.0
1458,99.0
1459,100.0
1460,101.0
1461,101.0
1462,101.0
1463,102.0
1464,100.0
1465,97.0
1466,95.0
1467,95.0
1468,97.0
1469,102.0
1470,102.0
1471,101.0
1472,101.0
1473,107.0
1474,111.0
1475,113.0
1476,113.0
1477,112.0
1478,107.0
1479,107.0
1480,109.0
1481,109.0
1482,108.0
1483,108.0
1484,98.0
1485,98.0
1486,98.0
1487,99.0
1488,98.0
1489,97.0
1490,95.0
1491,94.0
1492,94.0
1493,92.0
1494,92.0
1495,92.0
1496,91.0
1497,90.0
1498,81.0
1499,82.0
1500,83.0
1501,83.0
1502,83.0
1503,75.0
1504,68.0
1505,69.0
1506,69.0
1507,69.0
1508,68.0
1509,67.0
1510,67.0
1511,70.0
1512,69.0
1513,70.0
1514,67.0
1515,67.0
1516,67.0
1517,67.0
1518,67.0
1519,67.0
1520,67.0
1521,67.0
1522,67.0
1523,66.0
1524,66.0
1525,64.0
1526,64.0
1527,66.0
1528,65.0
1529,65.0
1530,66.0
1531,64.0
1532,64.0
1533,62.0
1534,62.0
1535,61.0
1536,61.0
1537,70.0
1538,72.0
1539,73.0
1540,73.0
1541,73.0
1542,71.0
1543,69.0
1544,69.0
1545,68.0
1546,62.0
1547,60.0
1548,62.0
1549,65.0
1550,67.0
1551,67.0
1552,61.0
1553,68.0
1554,67.0
1555,71.0
1556,73.0
1557,74.0
1558,77.0
1559,82.0
1560,82.0
1561,94.0
1562,87.0
1563,87.0
1564,87.0
1565,87.0
1566,87.0
1567,86.0
1568,86.0
1569,89.0
1570,88.0
1571,88.0
1572,89.0
1573,88.0
1574,87.0
1575,89.0
1576,92.0
1577,92.0
1578,91.0
1579,91.0
1580,91.0
1581,92.0
1582,92.0
1583,92.0
1584,92.0
1585,88.0
1586,90.0
1587,89.0
1588,88.0
1589,87.0
1590,86.0
1591,87.0
1592,87.0
1593,87.0
1594,86.0
1595,86.0
1596,86.0
1597,86.0
1598,86.0
1599,85.0
1600,87.0
1601,85.0
1602,87.0
1603,87.0
1604,90.0
1605,90.0
1606,92.0
1607,92.0
1608,92.0
1609,80.0
1610,81.0
1611,84.0
1612,82.0
1613,88.0
1614,88.0
1615,90.0
1616,90.0
1617,90.0
1618,91.0
1619,91.0
1620,88.0
1621,94.0
1622,86.0
1623,86.0
1624,90.0
1625,91.0
1626,97.0
1627,91.0
1628,91.0
1629,90.0
1630,88.0
1631,86.0
1632,84.0
1633,79.0
1634,85.0
1635,70.0
1636,75.0
1637,74.0
1638,74.0
1639,75.0
1640,75.0
1641,76.0
1642,76.0
1643,73.0
1644,71.0
1645,72.0
1646,78.0
1647,78.0
1648,78.0
1649,78.0
1650,77.0
1651,76.0
1652,76.0
1653,77.0
1654,75.0
1655,75.0
1656,77.0
1657,78.0
1658,78.0
1659,77.0
1660,77.0
1661,78.0
1662,78.0
1663,78.0
1664,78.0
1665,80.0
1666,80.0
1667,80.0
1668,80.0
1669,80.0
1670,80.0
1671,80.0
1672,80.0
1673,81.0
1674,78.0
1675,85.0
1676,85.0
1677,85.0
1678,82.0
1679,82.0
1680,83.0
1681,84.0
1682,84.0
1683,85.0
1684,78.0
1685,79.0
1686,79.0
1687,76.0
1688,76.0
1689,75.0
1690,75.0
1691,77.0
1692,75.0
1693,76.0
1694,73.0
1695,73.0
1696,73.0
1697,67.0
1698,68.0
1699,65.0
1700,65.0
1701,65.0
1702,65.0
1703,66.0
1704,66.0
1705,66.0
1706,66.0
1707,64.0
1708,63.0
1709,64.0
1710,61.0
1711,61.0
1712,60.0
1713,60.0
1714,62.0
1715,61.0
1716,61.0
1717,61.0
1718,61.0
1719,59.0
1720,55.0
1721,57.0
1722,57.0
1723,57.0
1724,57.0
1725,59.0
1726,60.0
1727,59.0
1728,59.0
1729,59.0
1730,60.0
1731,59.0
1732,59.0
1733,58.0
1734,58.0
1735,54.0
1736,55.0
1737,56.0
1738,55.0
1739,53.0
1740,56.0
1741,57.0
1742,57.0
1743,57.0
1744,57.0
1745,57.0
1746,56.0
1747,56.0
1748,58.0
1749,52.0
1750,53.0
1751,54.0
1752,52.0
1753,52.0
1754,54.0
1755,55.0
1756,56.0
1757,56.0
1758,56.0
1759,56.0
1760,56.0
1761,54.0
1762,57.0
1763,57.0
1764,57.0
1765,55.0
1766,55.0
1767,57.0
1768,52.0
1769,52.0
1770,52.0
1771,53.0
1772,52.0
1773,52.0
1774,54.0
1775,55.0
1776,55.0
1777,55.0
1778,55.0
1779,59.0
1780,60.0
1781,60.0
1782,60.0
1783,59.0
1784,59.0
1785,59.0
1786,59.0
1787,60.0
1788,61.0
1789,59.0
1790,60.0
1791,60.0
1792,63.0
1793,62.0
1794,60.0
1795,63.0
1796,62.0
1797,62.0
1798,66.0
1799,64.0
1800,64.0
1801,72.0
1802,72.0
1803,73.0
1804,69.0
1805,71.0
1806,73.0
1807,73.0
1808,73.0
1809,72.0
1810,72.0
1811,72.0
1812,72.0
1813,78.0
1814,77.0
1815,81.0
1816,83.0
1817,85.0
1818,86.0
1819,86.0
1820,86.0
1821,85.0
1822,82.0
1823,79.0
1824,78.0
1825,74.0
1826,78.0
1827,83.0
1828,83.0
1829,83.0
1830,83.0
1831,85.0
1832,88.0
1833,85.0
1834,86.0
1835,86.0
1836,83.0
1837,84.0
1838,84.0
1839,87.0
1840,86.0
1841,90.0
1842,89.0
1843,89.0
1844,87.0
1845,87.0
1846,90.0
1847,93.0
1848,91.0
1849,90.0
1850,90.0
1851,90.0
1852,90.0
1853,90.0
1854,90.0
1855,90.0
1856,88.0
1857,96.0
1858,96.0
1859,96.0
1860,99.0
1861,98.0
1862,98.0
1863,98.0
1864,101.0
1865,106.0
1866,102.0
1867,101.0
1868,105.0
1869,105.0
1870,109.0
1871,109.0
1872,108.0
1873,107.0
1874,100.0
1875,100.0
1876,101.0
1877,102.0
1878,103.0
1879,102.0
1880,103.0
1881,106.0
1882,106.0
1883,106.0
1884,105.0
1885,97.0
1886,103.0
1887,105.0
1888,106.0
1889,103.0
1890,106.0
1891,113.0
1892,114.0
1893,114.0
1894,114.0
1895,114.0
1896,124.0
1897,125.0
1898,128.0
1899,123.0
1900,119.0
1901,117.0
1902,117.0
1903,117.0
1904,118.0
1905,113.0
1906,114.0
1907,114.0
1908,116.0
1909,117.0
1910,116.0
1911,115.0
1912,115.0
1913,114.0
1914,115.0
1915,110.0
1916,109.0
1917,105.0
1918,108.0
1919,108.0
1920,114.0
1921,114.0
1922,113.0
1923,114.0
1924,115.0
1925,114.0
1926,114.0
1927,114.0
1928,116.0
1929,114.0
1930,114.0
1931,109.0
1932,109.0
1933,109.0
1934,110.0
1935,119.0
1936,111.0
1937,110.0
1938,110.0
1939,109.0
1940,109.0
1941,108.0
1942,102.0
1943,105.0
1944,99.0
1945,103.0
1946,103.0
1947,103.0
1948,98.0
1949,97.0
1950,100.0
1951,99.0
1952,105.0
1953,111.0
1954,111.0
1955,109.0
1956,123.0
1957,124.0
1958,125.0
1959,122.0
1960,121.0
1961,117.0
1962,115.0
1963,116.0
1964,115.0
1965,112.0
1966,116.0
1967,116.0
1968,116.0
1969,117.0
1970,111.0
1971,109.0
1972,107.0
1973,105.0
1974,106.0
1975,106.0
1976,108.0
1977,108.0
1978,107.0
1979,107.0
1980,104.0
1981,103.0
1982,100.0
1983,98.0
1984,98.0
1985,100.0
1986,100.0
1987,100.0
1988,102.0
1989,99.0
1990,98.0
1991,98.0
1992,98.0
1993,99.0
1994,91.0
1995,91.0
1996,90.0
1997,89.0
1998,89.0
1999,99.0
2000,99.0
2001,98.0
2002,94.0
2003,95.0
2004,95.0
2005,95.0
2006,100.0
2007,97.0
2008,97.0
2009,96.0
2010,96.0
2011,96.0
2012,96.0
2013,97.0
2014,97.0
2015,97.0
2016,97.0
2017,94.0
2018,91.0
2019,88.0
2020,88.0
2021,112.0
2022,113.0
2023,113.0
2024,110.0
2025,109.0
2026,101.0
2027,101.0
2028,102.0
2029,100.0
2030,82.0
2031,85.0
2032,86.0
2033,86.0
2034,86.0
2035,90.0
2036,96.0
2037,93.0
2038,92.0
2039,92.0
2040,82.0
2041,84.0
2042,84.0
2043,83.0
2044,84.0
2045,83.0
2046,85.0
2047,83.0
2048,83.0
2049,90.0
2050,87.0
2051,87.0
2052,89.0
2053,89.0
2054,87.0
2055,87.0
2056,87.0
2057,89.0
2058,89.0
2059,91.0
2060,91.0
2061,91.0
2062,90.0
2063,90.0
2064,88.0
2065,88.0
2066,88.0
2067,88.0
2068,95.0
2069,96.0
2070,99.0
2071,103.0
2072,92.0
2073,99.0
2074,98.0
2075,98.0
2076,98.0
2077,96.0
2078,99.0
2079,101.0
2080,94.0
2081,95.0
2082,92.0
2083,91.0
2084,91.0
2085,92.0
2086,93.0
2087,95.0
2088,95.0
2089,96.0
2090,96.0
2091,96.0
2092,96.0
2093,96.0
2094,78.0
2095,73.0
2096,73.0
2097,72.0
2098,75.0
2099,75.0
2100,77.0
2101,83.0
2102,82.0
2103,80.0
2104,80.0
2105,77.0
2106,77.0
2107,78.0
2108,79.0
2109,74.0
2110,71.0
2111,71.0
2112,74.0
2113,75.0
2114,75.0
2115,74.0
2116,74.0
2117,73.0
2118,73.0
2119,73.0
2120,72.0
2121,72.0
2122,76.0
2123,68.0
2124,68.0
2125,69.0
2126,69.0
2127,69.0
2128,69.0
2129,73.0
2130,75.0
2131,78.0
2132,75.0
2133,75.0
2134,73.0
2135,74.0
2136,74.0
2137,72.0
2138,71.0
2139,71.0
2140,71.0
