,E6qgW7,jQNpYD,dgZP3L,FAvEvi,QPbjvy,zhrVRY
53,82.0,738.0,34.0,3.0,53.0,23.0
54,86.0,767.0,34.0,4.0,56.0,23.0
55,86.0,769.0,34.0,4.0,56.0,23.0
56,86.0,770.0,34.0,4.0,56.0,23.0
57,86.0,771.0,34.0,4.0,57.0,23.0
58,86.0,774.0,34.0,4.0,57.0,23.0
59,93.0,839.0,38.0,4.0,60.0,26.0
60,93.0,839.0,38.0,4.0,60.0,26.0
61,93.0,839.0,38.0,4.0,60.0,26.0
62,93.0,839.0,38.0,4.0,60.0,26.0
63,93.0,840.0,38.0,4.0,60.0,26.0
64,95.0,878.0,39.0,4.0,63.0,27.0
65,97.0,895.0,39.0,4.0,64.0,27.0
66,98.0,897.0,39.0,4.0,64.0,27.0
67,98.0,897.0,39.0,4.0,64.0,27.0
68,98.0,897.0,39.0,4.0,64.0,27.0
69,98.0,897.0,40.0,4.0,64.0,27.0
70,98.0,897.0,40.0,4.0,64.0,27.0
71,98.0,897.0,40.0,4.0,64.0,27.0
72,98.0,902.0,41.0,4.0,64.0,27.0
73,98.0,900.0,41.0,4.0,63.0,27.0
74,98.0,896.0,41.0,4.0,63.0,27.0
75,98.0,896.0,41.0,4.0,63.0,27.0
76,98.0,896.0,41.0,4.0,63.0,27.0
77,99.0,896.0,41.0,4.0,63.0,28.0
78,101.0,921.0,41.0,5.0,66.0,28.0
79,101.0,921.0,41.0,5.0,66.0,28.0
80,103.0,927.0,41.0,5.0,66.0,28.0
81,109.0,949.0,41.0,5.0,67.0,28.0
82,109.0,950.0,41.0,5.0,67.0,28.0
83,110.0,974.0,42.0,5.0,70.0,28.0
84,123.0,1014.0,42.0,5.0,71.0,29.0
85,129.0,1045.0,43.0,5.0,71.0,29.0
86,129.0,1044.0,43.0,5.0,71.0,29.0
87,133.0,1064.0,43.0,5.0,74.0,32.0
88,133.0,1074.0,44.0,5.0,76.0,32.0
89,136.0,1106.0,44.0,5.0,78.0,32.0
90,150.0,1196.0,46.0,6.0,86.0,34.0
91,150.0,1198.0,47.0,6.0,86.0,34.0
92,161.0,1246.0,48.0,6.0,87.0,35.0
93,161.0,1250.0,48.0,6.0,87.0,35.0
94,167.0,1284.0,49.0,6.0,88.0,35.0
95,192.0,1373.0,52.0,8.0,95.0,39.0
96,192.0,1369.0,52.0,8.0,94.0,38.0
97,192.0,1379.0,52.0,8.0,94.0,38.0
98,192.0,1378.0,52.0,8.0,94.0,38.0
99,205.0,1462.0,55.0,9.0,97.0,41.0
100,206.0,1438.0,55.0,9.0,99.0,40.0
101,215.0,1518.0,55.0,10.0,103.0,40.0
102,201.0,1395.0,44.0,9.0,97.0,36.0
103,201.0,1418.0,44.0,9.0,99.0,36.0
104,214.0,1465.0,46.0,9.0,99.0,36.0
105,214.0,1466.0,46.0,9.0,99.0,36.0
106,215.0,1465.0,46.0,9.0,99.0,36.0
107,217.0,1483.0,46.0,9.0,99.0,39.0
108,219.0,1499.0,48.0,9.0,101.0,41.0
109,224.0,1539.0,49.0,9.0,102.0,42.0
110,206.0,1441.0,43.0,9.0,88.0,34.0
111,207.0,1433.0,42.0,9.0,88.0,34.0
112,208.0,1427.0,42.0,9.0,89.0,34.0
113,212.0,1457.0,45.0,9.0,94.0,34.0
114,217.0,1487.0,46.0,9.0,95.0,34.0
115,218.0,1489.0,46.0,9.0,95.0,34.0
116,218.0,1481.0,46.0,9.0,95.0,33.0
117,218.0,1475.0,46.0,9.0,94.0,33.0
118,220.0,1479.0,46.0,9.0,94.0,36.0
119,219.0,1481.0,43.0,9.0,94.0,34.0
120,222.0,1516.0,44.0,9.0,96.0,35.0
121,210.0,1454.0,42.0,8.0,92.0,34.0
122,209.0,1453.0,42.0,8.0,92.0,34.0
123,188.0,1340.0,34.0,7.0,84.0,31.0
124,196.0,1330.0,31.0,8.0,83.0,32.0
125,223.0,1396.0,33.0,8.0,93.0,35.0
126,223.0,1397.0,34.0,8.0,93.0,35.0
127,216.0,1377.0,35.0,7.0,91.0,34.0
128,216.0,1377.0,35.0,7.0,90.0,34.0
129,219.0,1385.0,36.0,7.0,90.0,34.0
130,223.0,1419.0,37.0,7.0,93.0,39.0
131,223.0,1419.0,37.0,7.0,92.0,39.0
132,223.0,1427.0,37.0,7.0,94.0,39.0
133,216.0,1369.0,33.0,7.0,91.0,36.0
134,216.0,1368.0,33.0,7.0,91.0,36.0
135,216.0,1374.0,33.0,7.0,91.0,36.0
136,216.0,1373.0,33.0,7.0,91.0,36.0
137,218.0,1377.0,34.0,7.0,92.0,36.0
138,216.0,1343.0,33.0,7.0,87.0,35.0
139,222.0,1373.0,33.0,7.0,87.0,35.0
140,229.0,1398.0,33.0,7.0,87.0,35.0
141,231.0,1399.0,33.0,7.0,88.0,35.0
142,234.0,1426.0,32.0,7.0,89.0,35.0
143,237.0,1432.0,32.0,7.0,90.0,35.0
144,238.0,1438.0,32.0,7.0,90.0,35.0
145,239.0,1441.0,31.0,7.0,91.0,35.0
146,239.0,1441.0,31.0,7.0,90.0,35.0
147,248.0,1487.0,36.0,7.0,90.0,35.0
148,248.0,1485.0,36.0,7.0,91.0,35.0
149,256.0,1560.0,40.0,7.0,95.0,35.0
150,256.0,1561.0,40.0,7.0,95.0,35.0
151,256.0,1564.0,40.0,7.0,95.0,35.0
152,252.0,1542.0,40.0,6.0,95.0,36.0
153,252.0,1542.0,40.0,6.0,95.0,36.0
154,251.0,1554.0,40.0,6.0,95.0,36.0
155,246.0,1547.0,41.0,7.0,95.0,36.0
156,247.0,1546.0,41.0,7.0,95.0,36.0
157,243.0,1532.0,43.0,8.0,102.0,36.0
158,243.0,1529.0,43.0,8.0,102.0,36.0
159,226.0,1530.0,43.0,8.0,98.0,33.0
160,228.0,1531.0,43.0,8.0,99.0,33.0
161,249.0,1585.0,44.0,8.0,101.0,34.0
162,249.0,1595.0,44.0,8.0,99.0,35.0
163,256.0,1499.0,43.0,7.0,90.0,33.0
164,256.0,1525.0,43.0,7.0,91.0,34.0
165,265.0,1573.0,42.0,8.0,94.0,35.0
166,259.0,1538.0,41.0,8.0,95.0,34.0
167,263.0,1570.0,44.0,9.0,96.0,34.0
168,257.0,1545.0,43.0,9.0,95.0,34.0
169,262.0,1588.0,43.0,9.0,100.0,31.0
170,263.0,1610.0,43.0,10.0,102.0,32.0
171,268.0,1648.0,43.0,10.0,108.0,33.0
172,271.0,1653.0,43.0,10.0,108.0,33.0
173,257.0,1578.0,40.0,9.0,105.0,30.0
174,270.0,1625.0,40.0,9.0,108.0,30.0
175,264.0,1572.0,41.0,8.0,105.0,30.0
176,268.0,1589.0,43.0,8.0,110.0,29.0
177,268.0,1565.0,43.0,8.0,108.0,29.0
178,256.0,1511.0,41.0,8.0,107.0,29.0
179,276.0,1608.0,45.0,8.0,114.0,29.0
180,283.0,1632.0,46.0,8.0,116.0,30.0
181,292.0,1661.0,47.0,8.0,117.0,27.0
182,289.0,1626.0,46.0,8.0,116.0,26.0
183,292.0,1633.0,46.0,8.0,117.0,27.0
184,291.0,1645.0,46.0,8.0,117.0,27.0
185,291.0,1643.0,46.0,8.0,117.0,27.0
186,299.0,1698.0,48.0,8.0,121.0,27.0
187,293.0,1624.0,45.0,8.0,115.0,26.0
188,295.0,1639.0,45.0,8.0,117.0,26.0
189,295.0,1654.0,45.0,8.0,117.0,26.0
190,315.0,1736.0,54.0,8.0,133.0,29.0
191,300.0,1722.0,53.0,8.0,125.0,27.0
192,317.0,1763.0,58.0,8.0,135.0,30.0
193,323.0,1796.0,60.0,9.0,138.0,32.0
194,381.0,1947.0,71.0,15.0,157.0,40.0
195,385.0,1968.0,72.0,15.0,157.0,40.0
196,385.0,1966.0,72.0,15.0,157.0,40.0
197,387.0,1988.0,73.0,15.0,159.0,40.0
198,387.0,1988.0,73.0,15.0,159.0,40.0
199,387.0,1984.0,73.0,15.0,158.0,40.0
200,397.0,2019.0,74.0,16.0,160.0,41.0
201,398.0,2037.0,74.0,16.0,162.0,42.0
202,408.0,2079.0,74.0,16.0,165.0,44.0
203,398.0,2033.0,72.0,16.0,161.0,39.0
204,398.0,2036.0,72.0,16.0,161.0,39.0
205,404.0,2088.0,72.0,16.0,161.0,40.0
206,404.0,2092.0,72.0,16.0,162.0,40.0
207,405.0,2103.0,73.0,16.0,162.0,40.0
208,405.0,2107.0,73.0,16.0,162.0,40.0
209,431.0,2208.0,78.0,16.0,174.0,44.0
210,436.0,2229.0,80.0,16.0,179.0,45.0
211,434.0,2225.0,79.0,16.0,179.0,45.0
212,439.0,2232.0,79.0,16.0,181.0,45.0
213,435.0,2203.0,79.0,16.0,180.0,45.0
214,435.0,2214.0,79.0,16.0,183.0,46.0
215,448.0,2265.0,80.0,16.0,189.0,47.0
216,449.0,2259.0,80.0,16.0,188.0,47.0
217,450.0,2275.0,80.0,16.0,191.0,49.0
218,456.0,2312.0,81.0,16.0,191.0,52.0
219,471.0,2382.0,82.0,17.0,198.0,53.0
220,477.0,2425.0,83.0,17.0,203.0,53.0
221,485.0,2457.0,80.0,17.0,208.0,54.0
222,486.0,2475.0,81.0,18.0,209.0,54.0
223,482.0,2434.0,79.0,18.0,206.0,54.0
224,486.0,2469.0,79.0,18.0,214.0,56.0
225,496.0,2503.0,81.0,18.0,218.0,57.0
226,496.0,2503.0,81.0,18.0,219.0,57.0
227,497.0,2495.0,82.0,18.0,219.0,57.0
228,505.0,2518.0,83.0,18.0,223.0,57.0
229,515.0,2531.0,81.0,17.0,221.0,58.0
230,530.0,2589.0,81.0,17.0,226.0,62.0
231,520.0,2521.0,78.0,16.0,218.0,62.0
232,523.0,2538.0,79.0,16.0,219.0,63.0
233,523.0,2548.0,81.0,16.0,218.0,63.0
234,538.0,2641.0,88.0,17.0,224.0,64.0
235,534.0,2653.0,87.0,17.0,229.0,65.0
236,531.0,2630.0,87.0,17.0,231.0,64.0
237,526.0,2631.0,88.0,18.0,231.0,65.0
238,524.0,2622.0,88.0,18.0,229.0,65.0
239,533.0,2646.0,88.0,18.0,231.0,66.0
240,534.0,2653.0,88.0,18.0,231.0,66.0
241,532.0,2625.0,85.0,17.0,231.0,66.0
242,535.0,2629.0,85.0,17.0,232.0,66.0
243,506.0,2537.0,82.0,15.0,221.0,64.0
244,503.0,2514.0,82.0,14.0,219.0,63.0
245,507.0,2507.0,84.0,14.0,217.0,63.0
246,506.0,2508.0,84.0,14.0,217.0,63.0
247,499.0,2486.0,85.0,14.0,216.0,63.0
248,497.0,2483.0,85.0,14.0,215.0,63.0
249,506.0,2521.0,85.0,14.0,217.0,63.0
250,506.0,2522.0,85.0,14.0,217.0,63.0
251,506.0,2522.0,85.0,14.0,217.0,63.0
252,507.0,2542.0,85.0,14.0,219.0,63.0
253,509.0,2523.0,82.0,15.0,226.0,64.0
254,516.0,2541.0,81.0,15.0,230.0,64.0
255,513.0,2522.0,83.0,15.0,225.0,63.0
256,509.0,2531.0,83.0,15.0,225.0,64.0
257,507.0,2527.0,83.0,15.0,224.0,63.0
258,505.0,2514.0,83.0,15.0,222.0,63.0
259,506.0,2515.0,83.0,15.0,222.0,63.0
260,500.0,2470.0,81.0,15.0,216.0,63.0
261,519.0,2520.0,87.0,18.0,237.0,71.0
262,520.0,2514.0,87.0,18.0,238.0,72.0
263,521.0,2509.0,87.0,18.0,238.0,72.0
264,489.0,2348.0,73.0,16.0,220.0,64.0
265,482.0,2337.0,73.0,16.0,219.0,60.0
266,484.0,2356.0,74.0,16.0,220.0,60.0
267,456.0,2303.0,65.0,11.0,214.0,54.0
268,455.0,2302.0,65.0,11.0,214.0,54.0
269,463.0,2358.0,65.0,11.0,218.0,58.0
270,463.0,2361.0,64.0,11.0,216.0,58.0
271,470.0,2378.0,64.0,11.0,217.0,57.0
272,471.0,2390.0,65.0,11.0,217.0,57.0
273,466.0,2355.0,64.0,11.0,215.0,57.0
274,465.0,2342.0,62.0,10.0,214.0,57.0
275,453.0,2297.0,61.0,10.0,212.0,55.0
276,449.0,2273.0,61.0,10.0,211.0,54.0
277,474.0,2349.0,62.0,11.0,222.0,55.0
278,459.0,2274.0,62.0,10.0,216.0,53.0
279,488.0,2356.0,67.0,12.0,223.0,57.0
280,492.0,2383.0,69.0,13.0,225.0,58.0
281,492.0,2366.0,68.0,13.0,225.0,58.0
282,495.0,2392.0,67.0,13.0,227.0,58.0
283,478.0,2318.0,63.0,13.0,219.0,56.0
284,490.0,2352.0,62.0,13.0,216.0,56.0
285,507.0,2428.0,64.0,13.0,222.0,60.0
286,495.0,2390.0,65.0,13.0,221.0,60.0
287,501.0,2416.0,66.0,13.0,222.0,59.0
288,502.0,2434.0,67.0,14.0,227.0,60.0
289,504.0,2447.0,67.0,14.0,227.0,60.0
290,527.0,2531.0,72.0,15.0,236.0,66.0
291,524.0,2516.0,72.0,15.0,235.0,64.0
292,511.0,2410.0,69.0,15.0,225.0,62.0
293,506.0,2382.0,68.0,15.0,225.0,61.0
294,497.0,2328.0,67.0,15.0,222.0,60.0
295,529.0,2452.0,73.0,17.0,237.0,67.0
296,528.0,2436.0,72.0,17.0,236.0,67.0
297,536.0,2484.0,74.0,18.0,242.0,67.0
298,539.0,2517.0,75.0,18.0,245.0,70.0
299,530.0,2486.0,74.0,15.0,240.0,70.0
300,531.0,2489.0,75.0,15.0,240.0,71.0
301,535.0,2489.0,74.0,15.0,240.0,71.0
302,533.0,2488.0,74.0,15.0,239.0,72.0
303,533.0,2482.0,74.0,15.0,239.0,72.0
304,521.0,2494.0,76.0,15.0,234.0,67.0
305,523.0,2516.0,76.0,15.0,236.0,67.0
306,520.0,2507.0,75.0,15.0,235.0,66.0
307,512.0,2440.0,70.0,14.0,229.0,66.0
308,516.0,2467.0,71.0,15.0,231.0,67.0
309,528.0,2508.0,71.0,15.0,235.0,71.0
310,532.0,2521.0,72.0,15.0,235.0,72.0
311,531.0,2512.0,71.0,15.0,234.0,71.0
312,532.0,2523.0,71.0,15.0,237.0,71.0
313,549.0,2579.0,76.0,18.0,250.0,72.0
314,565.0,2652.0,79.0,18.0,256.0,72.0
315,563.0,2681.0,80.0,18.0,257.0,73.0
316,564.0,2676.0,80.0,18.0,258.0,73.0
317,571.0,2687.0,83.0,18.0,260.0,76.0
318,574.0,2713.0,82.0,19.0,266.0,79.0
319,590.0,2792.0,86.0,19.0,274.0,79.0
320,600.0,2863.0,90.0,19.0,280.0,80.0
321,597.0,2851.0,91.0,19.0,277.0,80.0
322,583.0,2846.0,89.0,20.0,271.0,81.0
323,572.0,2793.0,88.0,20.0,266.0,80.0
324,570.0,2782.0,88.0,20.0,266.0,80.0
325,570.0,2809.0,90.0,20.0,266.0,80.0
326,614.0,2955.0,101.0,24.0,292.0,92.0
327,595.0,2911.0,102.0,24.0,277.0,92.0
328,597.0,2910.0,103.0,23.0,275.0,94.0
329,581.0,2896.0,100.0,24.0,276.0,93.0
330,584.0,2905.0,99.0,24.0,277.0,93.0
331,604.0,2977.0,102.0,25.0,290.0,100.0
332,601.0,2974.0,102.0,25.0,287.0,99.0
333,602.0,2980.0,102.0,25.0,288.0,99.0
334,610.0,2999.0,102.0,25.0,293.0,99.0
335,578.0,2914.0,94.0,22.0,270.0,91.0
336,600.0,2987.0,96.0,22.0,274.0,95.0
337,596.0,2957.0,94.0,22.0,273.0,95.0
338,596.0,2942.0,94.0,22.0,271.0,94.0
339,596.0,2927.0,93.0,22.0,270.0,94.0
340,580.0,2853.0,89.0,22.0,258.0,94.0
341,581.0,2862.0,89.0,22.0,262.0,95.0
342,601.0,2925.0,92.0,22.0,268.0,96.0
343,601.0,2923.0,93.0,22.0,269.0,95.0
344,606.0,2947.0,93.0,22.0,273.0,95.0
345,615.0,2998.0,99.0,24.0,280.0,99.0
346,615.0,3003.0,99.0,24.0,282.0,101.0
347,621.0,3017.0,99.0,24.0,283.0,102.0
348,623.0,3023.0,99.0,24.0,284.0,101.0
349,627.0,3036.0,99.0,24.0,284.0,101.0
350,638.0,3102.0,100.0,26.0,289.0,99.0
351,611.0,2991.0,96.0,26.0,276.0,96.0
352,627.0,3068.0,101.0,27.0,287.0,98.0
353,607.0,2994.0,97.0,26.0,283.0,94.0
354,604.0,2983.0,97.0,25.0,283.0,94.0
355,607.0,3023.0,96.0,25.0,285.0,94.0
356,604.0,2993.0,96.0,25.0,284.0,94.0
357,605.0,3001.0,97.0,25.0,283.0,94.0
358,594.0,2956.0,96.0,25.0,283.0,92.0
359,582.0,2925.0,94.0,25.0,279.0,89.0
360,598.0,3001.0,97.0,25.0,285.0,90.0
361,570.0,2907.0,96.0,24.0,273.0,88.0
362,574.0,2942.0,97.0,23.0,269.0,85.0
363,577.0,2990.0,97.0,23.0,281.0,87.0
364,572.0,2984.0,96.0,24.0,290.0,86.0
365,581.0,2998.0,96.0,24.0,290.0,86.0
366,587.0,2999.0,96.0,24.0,290.0,86.0
367,589.0,3025.0,96.0,25.0,290.0,86.0
368,596.0,3069.0,98.0,25.0,295.0,87.0
369,571.0,2963.0,92.0,23.0,281.0,82.0
370,573.0,2980.0,92.0,23.0,285.0,82.0
371,558.0,2899.0,89.0,22.0,278.0,81.0
372,556.0,2852.0,88.0,22.0,273.0,79.0
373,557.0,2863.0,88.0,22.0,277.0,79.0
374,558.0,2871.0,87.0,22.0,278.0,78.0
375,564.0,2892.0,87.0,22.0,279.0,78.0
376,561.0,2875.0,87.0,22.0,279.0,78.0
377,578.0,2935.0,87.0,23.0,287.0,82.0
378,560.0,2860.0,84.0,22.0,282.0,81.0
379,554.0,2822.0,84.0,22.0,279.0,81.0
380,558.0,2833.0,84.0,23.0,279.0,81.0
381,568.0,2874.0,87.0,23.0,285.0,86.0
382,556.0,2829.0,86.0,22.0,281.0,84.0
383,545.0,2791.0,86.0,23.0,277.0,79.0
384,540.0,2770.0,86.0,23.0,275.0,79.0
385,540.0,2773.0,86.0,23.0,275.0,79.0
386,527.0,2695.0,86.0,22.0,265.0,79.0
387,521.0,2666.0,82.0,19.0,255.0,77.0
388,511.0,2599.0,80.0,20.0,250.0,75.0
389,513.0,2580.0,79.0,20.0,248.0,75.0
390,501.0,2544.0,77.0,20.0,244.0,70.0
391,500.0,2546.0,77.0,20.0,243.0,70.0
392,492.0,2485.0,74.0,19.0,234.0,67.0
393,470.0,2367.0,69.0,19.0,227.0,66.0
394,470.0,2365.0,69.0,19.0,227.0,66.0
395,496.0,2464.0,74.0,21.0,242.0,73.0
396,501.0,2441.0,73.0,20.0,241.0,76.0
397,501.0,2461.0,73.0,20.0,241.0,76.0
398,499.0,2429.0,71.0,20.0,238.0,76.0
399,503.0,2428.0,71.0,20.0,240.0,76.0
400,467.0,2329.0,60.0,17.0,220.0,64.0
401,464.0,2296.0,57.0,16.0,219.0,63.0
402,452.0,2258.0,54.0,16.0,211.0,58.0
403,447.0,2232.0,54.0,15.0,215.0,57.0
404,465.0,2296.0,56.0,15.0,229.0,59.0
405,455.0,2252.0,53.0,14.0,221.0,53.0
406,461.0,2271.0,54.0,15.0,226.0,53.0
407,463.0,2306.0,54.0,15.0,230.0,54.0
408,478.0,2360.0,55.0,15.0,234.0,55.0
409,472.0,2316.0,54.0,15.0,230.0,55.0
410,504.0,2367.0,59.0,17.0,243.0,54.0
411,515.0,2405.0,61.0,19.0,245.0,55.0
412,529.0,2481.0,65.0,19.0,254.0,57.0
413,528.0,2483.0,65.0,19.0,254.0,57.0
414,525.0,2477.0,65.0,19.0,256.0,54.0
415,558.0,2531.0,67.0,19.0,261.0,53.0
416,543.0,2480.0,64.0,19.0,256.0,53.0
417,536.0,2496.0,66.0,20.0,255.0,57.0
418,536.0,2494.0,66.0,20.0,255.0,57.0
419,501.0,2367.0,60.0,18.0,238.0,51.0
420,517.0,2389.0,61.0,18.0,238.0,50.0
421,508.0,2356.0,61.0,18.0,239.0,49.0
422,508.0,2353.0,61.0,18.0,238.0,49.0
423,505.0,2355.0,62.0,18.0,238.0,49.0
424,494.0,2280.0,61.0,16.0,230.0,49.0
425,512.0,2371.0,63.0,17.0,237.0,50.0
426,502.0,2307.0,60.0,15.0,228.0,49.0
427,519.0,2380.0,61.0,17.0,239.0,50.0
428,518.0,2383.0,61.0,17.0,239.0,50.0
429,527.0,2385.0,61.0,17.0,244.0,54.0
430,561.0,2498.0,63.0,18.0,254.0,62.0
431,563.0,2497.0,62.0,18.0,254.0,62.0
432,564.0,2490.0,63.0,18.0,254.0,62.0
433,541.0,2440.0,63.0,17.0,248.0,58.0
434,511.0,2340.0,60.0,17.0,234.0,57.0
435,566.0,2479.0,63.0,19.0,249.0,68.0
436,563.0,2439.0,61.0,19.0,250.0,69.0
437,558.0,2405.0,61.0,19.0,244.0,69.0
438,540.0,2321.0,55.0,18.0,232.0,69.0
439,535.0,2311.0,55.0,19.0,232.0,69.0
440,541.0,2317.0,55.0,19.0,233.0,71.0
441,538.0,2297.0,55.0,19.0,233.0,70.0
442,535.0,2274.0,53.0,19.0,230.0,70.0
443,536.0,2285.0,53.0,19.0,230.0,71.0
444,533.0,2272.0,53.0,19.0,226.0,71.0
445,533.0,2268.0,53.0,19.0,223.0,70.0
446,532.0,2259.0,53.0,19.0,224.0,70.0
447,529.0,2234.0,53.0,19.0,219.0,69.0
448,528.0,2237.0,53.0,19.0,218.0,69.0
449,520.0,2200.0,52.0,19.0,217.0,69.0
450,526.0,2215.0,52.0,20.0,220.0,69.0
451,510.0,2127.0,52.0,19.0,214.0,65.0
452,512.0,2129.0,53.0,19.0,212.0,65.0
453,513.0,2142.0,54.0,18.0,214.0,65.0
454,515.0,2145.0,54.0,19.0,217.0,65.0
455,505.0,2112.0,51.0,19.0,214.0,60.0
456,505.0,2102.0,51.0,19.0,213.0,61.0
457,514.0,2150.0,55.0,19.0,214.0,62.0
458,514.0,2148.0,55.0,19.0,214.0,63.0
459,549.0,2262.0,62.0,19.0,237.0,69.0
460,552.0,2303.0,61.0,20.0,244.0,70.0
461,554.0,2319.0,63.0,20.0,242.0,70.0
462,552.0,2305.0,62.0,19.0,241.0,70.0
463,584.0,2444.0,78.0,19.0,266.0,82.0
464,586.0,2450.0,78.0,19.0,266.0,82.0
465,582.0,2439.0,78.0,20.0,266.0,82.0
466,597.0,2526.0,84.0,20.0,274.0,84.0
467,616.0,2591.0,84.0,20.0,280.0,84.0
468,576.0,2473.0,77.0,18.0,263.0,76.0
469,590.0,2555.0,80.0,19.0,271.0,78.0
470,581.0,2514.0,79.0,19.0,270.0,73.0
471,585.0,2522.0,79.0,19.0,274.0,74.0
472,593.0,2572.0,83.0,19.0,278.0,74.0
473,589.0,2556.0,83.0,19.0,276.0,74.0
474,586.0,2530.0,83.0,19.0,274.0,74.0
475,594.0,2639.0,86.0,20.0,279.0,76.0
476,591.0,2627.0,86.0,20.0,279.0,76.0
477,599.0,2652.0,86.0,20.0,276.0,76.0
478,572.0,2548.0,84.0,20.0,259.0,72.0
479,568.0,2532.0,84.0,20.0,259.0,71.0
480,543.0,2426.0,82.0,19.0,248.0,69.0
481,543.0,2403.0,82.0,19.0,245.0,68.0
482,578.0,2518.0,88.0,21.0,256.0,70.0
483,577.0,2520.0,88.0,21.0,256.0,70.0
484,531.0,2386.0,80.0,18.0,240.0,69.0
485,539.0,2415.0,82.0,20.0,240.0,69.0
486,531.0,2370.0,79.0,20.0,239.0,67.0
487,553.0,2466.0,87.0,21.0,251.0,70.0
488,552.0,2466.0,87.0,21.0,249.0,69.0
489,527.0,2385.0,85.0,21.0,239.0,69.0
490,535.0,2391.0,87.0,21.0,241.0,72.0
491,519.0,2312.0,84.0,20.0,235.0,68.0
492,557.0,2411.0,88.0,22.0,247.0,73.0
493,566.0,2497.0,93.0,23.0,261.0,75.0
494,589.0,2568.0,94.0,24.0,268.0,74.0
495,603.0,2599.0,94.0,24.0,271.0,74.0
496,604.0,2607.0,94.0,24.0,272.0,74.0
497,607.0,2627.0,95.0,24.0,274.0,75.0
498,609.0,2628.0,95.0,24.0,270.0,75.0
499,581.0,2538.0,92.0,24.0,266.0,73.0
500,608.0,2626.0,97.0,24.0,278.0,76.0
501,649.0,2732.0,117.0,25.0,301.0,86.0
502,643.0,2684.0,116.0,25.0,297.0,84.0
503,637.0,2680.0,115.0,25.0,294.0,83.0
504,633.0,2652.0,115.0,25.0,293.0,79.0
505,628.0,2644.0,115.0,24.0,293.0,77.0
506,664.0,2797.0,127.0,29.0,324.0,85.0
507,659.0,2792.0,128.0,29.0,325.0,85.0
508,661.0,2809.0,129.0,29.0,326.0,85.0
509,636.0,2719.0,126.0,28.0,314.0,77.0
510,636.0,2723.0,126.0,28.0,315.0,77.0
511,662.0,2832.0,139.0,28.0,318.0,77.0
512,664.0,2850.0,141.0,28.0,318.0,77.0
513,665.0,2853.0,141.0,27.0,319.0,78.0
514,689.0,2894.0,143.0,28.0,324.0,77.0
515,726.0,3013.0,149.0,28.0,332.0,79.0
516,727.0,3008.0,149.0,28.0,331.0,79.0
517,729.0,3030.0,150.0,28.0,332.0,78.0
518,727.0,3039.0,151.0,28.0,333.0,78.0
