,48cAtM,YAdfpF,2YwKxe
172,212.0,1806.0,28.0
173,201.0,1743.0,28.0
174,207.0,1791.0,28.0
175,208.0,1798.0,28.0
176,204.0,1776.0,28.0
177,203.0,1766.0,28.0
178,216.0,1811.0,28.0
179,215.0,1809.0,28.0
180,216.0,1823.0,28.0
181,215.0,1810.0,28.0
182,218.0,1861.0,24.0
183,216.0,1848.0,25.0
184,221.0,1865.0,25.0
185,222.0,1876.0,25.0
186,221.0,1888.0,24.0
187,220.0,1872.0,24.0
188,238.0,1924.0,23.0
189,234.0,1887.0,22.0
190,235.0,1893.0,22.0
191,235.0,1872.0,22.0
192,241.0,1934.0,23.0
193,248.0,1971.0,23.0
194,248.0,1969.0,23.0
195,237.0,1895.0,20.0
196,236.0,1892.0,20.0
197,231.0,1852.0,20.0
198,237.0,1879.0,21.0
199,236.0,1886.0,21.0
200,238.0,1880.0,20.0
201,239.0,1873.0,20.0
202,239.0,1888.0,20.0
203,238.0,1891.0,20.0
204,240.0,1921.0,20.0
205,242.0,1918.0,20.0
206,242.0,1939.0,20.0
207,241.0,1934.0,18.0
208,234.0,1893.0,20.0
209,236.0,1942.0,20.0
210,243.0,2011.0,21.0
211,242.0,2007.0,21.0
212,244.0,2034.0,21.0
213,231.0,1974.0,18.0
214,232.0,1973.0,18.0
215,232.0,1978.0,18.0
216,232.0,1976.0,18.0
217,243.0,2052.0,19.0
218,239.0,2041.0,18.0
219,239.0,2002.0,18.0
220,230.0,1952.0,18.0
221,229.0,1945.0,18.0
222,240.0,1997.0,22.0
223,240.0,2001.0,22.0
224,240.0,1996.0,21.0
225,239.0,1999.0,21.0
226,235.0,1916.0,20.0
227,233.0,1907.0,21.0
228,229.0,1875.0,21.0
229,234.0,1885.0,22.0
230,235.0,1888.0,21.0
231,226.0,1834.0,22.0
232,228.0,1850.0,23.0
233,227.0,1847.0,23.0
234,227.0,1848.0,23.0
235,240.0,1934.0,24.0
236,239.0,1941.0,24.0
237,253.0,2017.0,23.0
238,235.0,1936.0,23.0
239,241.0,1953.0,23.0
240,243.0,1968.0,23.0
241,243.0,1967.0,23.0
242,245.0,1982.0,23.0
243,245.0,1992.0,23.0
244,242.0,1956.0,24.0
245,245.0,2010.0,25.0
246,240.0,1969.0,25.0
247,269.0,2120.0,30.0
248,262.0,2067.0,30.0
249,275.0,2117.0,31.0
250,279.0,2150.0,32.0
251,291.0,2207.0,34.0
252,280.0,2150.0,34.0
253,280.0,2144.0,34.0
254,280.0,2159.0,34.0
255,280.0,2150.0,34.0
256,261.0,2021.0,33.0
257,265.0,2040.0,33.0
258,259.0,2003.0,32.0
259,262.0,2031.0,32.0
260,262.0,2008.0,32.0
261,262.0,2011.0,32.0
262,250.0,1955.0,31.0
263,250.0,1950.0,31.0
264,254.0,1975.0,32.0
265,253.0,1971.0,32.0
266,248.0,1910.0,31.0
267,246.0,1913.0,31.0
268,246.0,1904.0,31.0
269,257.0,1964.0,31.0
270,258.0,1961.0,26.0
271,258.0,1959.0,26.0
272,253.0,1922.0,26.0
273,245.0,1875.0,26.0
274,254.0,1934.0,26.0
275,253.0,1930.0,26.0
276,252.0,1890.0,26.0
277,250.0,1883.0,26.0
278,248.0,1843.0,26.0
279,245.0,1844.0,26.0
280,245.0,1828.0,26.0
281,245.0,1834.0,26.0
282,246.0,1826.0,24.0
283,242.0,1765.0,23.0
284,229.0,1696.0,23.0
285,231.0,1707.0,23.0
286,231.0,1718.0,23.0
287,232.0,1731.0,23.0
288,231.0,1734.0,23.0
289,240.0,1762.0,22.0
290,242.0,1769.0,21.0
291,233.0,1698.0,21.0
292,233.0,1722.0,21.0
293,234.0,1726.0,21.0
294,232.0,1708.0,17.0
295,235.0,1701.0,17.0
296,234.0,1735.0,20.0
297,268.0,1836.0,27.0
298,271.0,1853.0,28.0
299,271.0,1851.0,28.0
300,272.0,1867.0,28.0
301,278.0,1897.0,27.0
302,278.0,1929.0,27.0
303,275.0,1923.0,27.0
304,269.0,1892.0,27.0
305,282.0,1902.0,30.0
306,285.0,1896.0,30.0
307,286.0,1906.0,30.0
308,288.0,1931.0,31.0
309,274.0,1840.0,30.0
310,305.0,1930.0,42.0
311,293.0,1832.0,42.0
312,297.0,1843.0,43.0
313,292.0,1812.0,43.0
314,294.0,1798.0,43.0
315,314.0,1887.0,47.0
316,313.0,1874.0,47.0
317,314.0,1867.0,46.0
318,314.0,1879.0,46.0
319,322.0,1903.0,46.0
320,360.0,2027.0,52.0
321,339.0,1918.0,52.0
322,355.0,1993.0,59.0
323,344.0,1942.0,58.0
324,361.0,2039.0,60.0
325,354.0,2001.0,59.0
326,365.0,2056.0,61.0
327,372.0,2100.0,65.0
328,374.0,2085.0,65.0
329,375.0,2114.0,65.0
330,379.0,2129.0,67.0
331,381.0,2154.0,67.0
332,379.0,2148.0,67.0
333,393.0,2196.0,68.0
334,393.0,2216.0,70.0
335,394.0,2213.0,70.0
336,391.0,2208.0,70.0
337,392.0,2216.0,70.0
338,423.0,2376.0,74.0
339,424.0,2379.0,74.0
340,425.0,2393.0,74.0
341,424.0,2404.0,76.0
342,434.0,2462.0,76.0
343,425.0,2462.0,76.0
344,427.0,2511.0,76.0
345,427.0,2504.0,78.0
346,440.0,2575.0,80.0
347,444.0,2614.0,83.0
348,447.0,2644.0,83.0
349,447.0,2650.0,88.0
350,448.0,2667.0,89.0
351,451.0,2687.0,89.0
352,455.0,2736.0,89.0
353,456.0,2745.0,89.0
354,460.0,2767.0,89.0
355,460.0,2775.0,90.0
356,458.0,2767.0,90.0
357,487.0,2847.0,94.0
358,487.0,2848.0,94.0
359,488.0,2852.0,94.0
360,488.0,2831.0,94.0
361,488.0,2825.0,94.0
362,499.0,2896.0,94.0
363,519.0,2941.0,106.0
364,522.0,2953.0,106.0
365,532.0,2990.0,108.0
366,532.0,2981.0,108.0
367,532.0,2983.0,109.0
368,535.0,3016.0,109.0
369,539.0,3031.0,108.0
370,540.0,3025.0,106.0
371,503.0,2911.0,102.0
372,498.0,2889.0,101.0
373,504.0,2938.0,103.0
374,504.0,2926.0,103.0
375,540.0,3032.0,106.0
376,540.0,3017.0,106.0
377,540.0,3014.0,106.0
378,542.0,3041.0,106.0
379,516.0,2957.0,101.0
380,524.0,3023.0,102.0
381,525.0,3014.0,102.0
382,527.0,3009.0,101.0
383,545.0,3086.0,103.0
384,504.0,2945.0,89.0
385,518.0,3041.0,90.0
386,516.0,3025.0,89.0
387,520.0,3070.0,90.0
388,518.0,3070.0,90.0
389,506.0,2993.0,86.0
390,508.0,3000.0,86.0
391,525.0,3075.0,86.0
392,528.0,3074.0,91.0
393,524.0,3035.0,91.0
394,475.0,2862.0,80.0
395,477.0,2878.0,80.0
396,456.0,2785.0,73.0
397,467.0,2824.0,74.0
398,453.0,2714.0,71.0
399,452.0,2713.0,71.0
400,444.0,2685.0,71.0
401,439.0,2644.0,67.0
402,439.0,2646.0,67.0
403,444.0,2646.0,69.0
404,435.0,2613.0,67.0
405,430.0,2554.0,67.0
406,431.0,2497.0,66.0
407,428.0,2450.0,68.0
408,429.0,2446.0,68.0
409,429.0,2442.0,67.0
410,428.0,2429.0,67.0
411,438.0,2475.0,64.0
412,431.0,2408.0,66.0
413,441.0,2442.0,66.0
414,443.0,2451.0,66.0
415,443.0,2427.0,64.0
416,434.0,2424.0,64.0
417,474.0,2512.0,69.0
418,473.0,2500.0,69.0
419,475.0,2512.0,69.0
420,461.0,2409.0,67.0
421,455.0,2372.0,65.0
422,482.0,2525.0,60.0
423,482.0,2519.0,66.0
424,481.0,2517.0,66.0
425,478.0,2485.0,66.0
426,474.0,2450.0,66.0
427,475.0,2454.0,66.0
428,501.0,2556.0,68.0
429,526.0,2651.0,79.0
430,532.0,2683.0,81.0
431,502.0,2603.0,77.0
432,513.0,2661.0,80.0
433,510.0,2670.0,81.0
434,517.0,2722.0,82.0
435,517.0,2724.0,82.0
436,512.0,2678.0,82.0
437,477.0,2564.0,70.0
438,476.0,2566.0,70.0
439,469.0,2533.0,68.0
440,472.0,2586.0,68.0
441,476.0,2608.0,72.0
442,474.0,2585.0,71.0
443,472.0,2579.0,70.0
444,463.0,2521.0,70.0
445,492.0,2616.0,71.0
446,491.0,2607.0,71.0
447,488.0,2560.0,69.0
448,496.0,2618.0,69.0
449,462.0,2508.0,68.0
450,475.0,2580.0,73.0
451,486.0,2620.0,73.0
452,486.0,2605.0,73.0
453,491.0,2642.0,75.0
454,484.0,2569.0,76.0
455,486.0,2593.0,77.0
456,494.0,2674.0,80.0
457,471.0,2585.0,78.0
458,471.0,2585.0,78.0
459,460.0,2503.0,78.0
460,465.0,2519.0,78.0
461,460.0,2501.0,77.0
462,458.0,2505.0,77.0
463,447.0,2468.0,77.0
464,447.0,2471.0,77.0
465,428.0,2410.0,73.0
466,433.0,2419.0,73.0
467,433.0,2419.0,73.0
468,433.0,2429.0,73.0
469,430.0,2418.0,74.0
470,432.0,2421.0,74.0
471,424.0,2418.0,75.0
472,438.0,2496.0,80.0
473,443.0,2500.0,82.0
474,441.0,2495.0,81.0
475,445.0,2500.0,80.0
476,443.0,2501.0,78.0
477,456.0,2557.0,78.0
478,457.0,2563.0,79.0
479,457.0,2573.0,79.0
480,453.0,2563.0,77.0
481,438.0,2495.0,74.0
482,461.0,2624.0,77.0
483,461.0,2619.0,78.0
484,460.0,2629.0,78.0
485,456.0,2608.0,78.0
486,438.0,2523.0,76.0
487,461.0,2624.0,76.0
488,460.0,2619.0,76.0
489,459.0,2620.0,76.0
490,458.0,2607.0,77.0
491,415.0,2467.0,70.0
492,417.0,2470.0,70.0
493,422.0,2489.0,70.0
494,434.0,2550.0,70.0
495,434.0,2550.0,74.0
496,436.0,2432.0,73.0
497,444.0,2491.0,75.0
498,445.0,2492.0,75.0
499,446.0,2503.0,75.0
500,449.0,2542.0,77.0
501,454.0,2542.0,76.0
502,437.0,2473.0,73.0
503,409.0,2345.0,63.0
504,410.0,2334.0,61.0
505,430.0,2405.0,62.0
506,430.0,2412.0,59.0
507,429.0,2398.0,58.0
508,421.0,2352.0,57.0
509,424.0,2347.0,56.0
510,454.0,2477.0,59.0
511,469.0,2544.0,63.0
512,468.0,2533.0,64.0
513,465.0,2537.0,64.0
514,459.0,2480.0,61.0
515,454.0,2477.0,60.0
516,458.0,2500.0,61.0
517,453.0,2487.0,61.0
518,453.0,2505.0,61.0
519,423.0,2384.0,57.0
520,423.0,2396.0,56.0
521,422.0,2398.0,56.0
522,412.0,2350.0,54.0
523,412.0,2353.0,54.0
524,394.0,2249.0,49.0
525,396.0,2269.0,50.0
526,395.0,2255.0,51.0
527,387.0,2247.0,50.0
528,386.0,2222.0,49.0
529,385.0,2217.0,46.0
530,387.0,2169.0,45.0
531,392.0,2192.0,45.0
532,392.0,2191.0,45.0
533,400.0,2238.0,45.0
534,397.0,2214.0,46.0
535,414.0,2291.0,48.0
536,417.0,2296.0,48.0
537,428.0,2343.0,49.0
538,446.0,2444.0,49.0
539,448.0,2418.0,51.0
540,450.0,2441.0,52.0
541,450.0,2461.0,52.0
542,450.0,2462.0,51.0
543,451.0,2483.0,52.0
544,449.0,2468.0,52.0
545,446.0,2444.0,51.0
546,431.0,2353.0,47.0
547,425.0,2324.0,45.0
548,425.0,2324.0,45.0
549,418.0,2305.0,45.0
550,419.0,2324.0,45.0
551,409.0,2289.0,45.0
552,409.0,2265.0,45.0
553,427.0,2334.0,48.0
554,427.0,2333.0,48.0
555,434.0,2383.0,51.0
556,418.0,2286.0,48.0
557,420.0,2292.0,48.0
558,437.0,2387.0,52.0
559,451.0,2469.0,54.0
560,450.0,2447.0,54.0
561,431.0,2452.0,55.0
562,428.0,2429.0,55.0
563,433.0,2476.0,55.0
564,443.0,2532.0,57.0
565,447.0,2557.0,61.0
566,445.0,2597.0,61.0
567,438.0,2563.0,61.0
568,422.0,2496.0,57.0
569,422.0,2508.0,57.0
570,384.0,2389.0,51.0
571,390.0,2422.0,49.0
572,388.0,2404.0,50.0
573,389.0,2401.0,50.0
574,402.0,2429.0,49.0
575,412.0,2496.0,49.0
576,424.0,2537.0,51.0
577,424.0,2540.0,51.0
578,419.0,2528.0,50.0
579,406.0,2488.0,49.0
580,396.0,2448.0,49.0
581,402.0,2470.0,49.0
582,401.0,2478.0,49.0
583,394.0,2478.0,49.0
584,385.0,2436.0,48.0
585,362.0,2344.0,44.0
586,373.0,2399.0,43.0
587,373.0,2392.0,43.0
588,373.0,2396.0,43.0
589,385.0,2430.0,43.0
590,395.0,2456.0,42.0
591,401.0,2507.0,44.0
592,400.0,2498.0,44.0
593,392.0,2478.0,44.0
594,394.0,2474.0,45.0
595,390.0,2457.0,44.0
596,421.0,2567.0,50.0
597,421.0,2565.0,50.0
598,423.0,2585.0,50.0
599,403.0,2488.0,49.0
600,409.0,2542.0,50.0
601,410.0,2533.0,50.0
602,410.0,2531.0,50.0
603,415.0,2579.0,50.0
604,436.0,2670.0,52.0
605,432.0,2681.0,52.0
606,430.0,2697.0,52.0
607,423.0,2642.0,52.0
608,424.0,2652.0,51.0
609,401.0,2566.0,49.0
610,397.0,2561.0,51.0
611,391.0,2552.0,50.0
612,366.0,2417.0,47.0
613,360.0,2384.0,46.0
614,358.0,2357.0,44.0
615,363.0,2351.0,45.0
616,364.0,2351.0,45.0
617,362.0,2334.0,44.0
618,377.0,2412.0,45.0
619,395.0,2447.0,45.0
620,393.0,2450.0,44.0
621,391.0,2436.0,45.0
622,392.0,2457.0,45.0
623,405.0,2537.0,46.0
624,416.0,2576.0,46.0
625,415.0,2566.0,46.0
626,415.0,2562.0,46.0
627,390.0,2395.0,42.0
628,401.0,2460.0,43.0
629,407.0,2515.0,45.0
630,408.0,2519.0,45.0
631,407.0,2531.0,45.0
632,390.0,2445.0,46.0
633,378.0,2366.0,43.0
634,380.0,2394.0,43.0
635,373.0,2332.0,43.0
636,374.0,2336.0,43.0
637,368.0,2320.0,43.0
638,357.0,2250.0,40.0
639,364.0,2292.0,41.0
640,366.0,2282.0,41.0
641,367.0,2297.0,41.0
642,375.0,2326.0,40.0
643,373.0,2302.0,39.0
644,377.0,2336.0,39.0
645,370.0,2290.0,39.0
646,375.0,2320.0,38.0
647,379.0,2354.0,38.0
648,363.0,2256.0,38.0
649,352.0,2242.0,37.0
650,341.0,2200.0,36.0
651,346.0,2218.0,36.0
652,346.0,2216.0,36.0
653,339.0,2154.0,35.0
654,351.0,2197.0,35.0
655,344.0,2172.0,35.0
656,350.0,2217.0,34.0
657,351.0,2217.0,34.0
658,342.0,2182.0,34.0
659,350.0,2217.0,34.0
660,338.0,2183.0,34.0
661,350.0,2294.0,39.0
662,350.0,2256.0,37.0
663,336.0,2198.0,36.0
664,335.0,2326.0,41.0
665,332.0,2258.0,40.0
666,337.0,2292.0,40.0
667,337.0,2292.0,40.0
668,334.0,2286.0,40.0
669,342.0,2357.0,41.0
670,308.0,2209.0,32.0
671,308.0,2206.0,32.0
672,309.0,2183.0,31.0
673,312.0,2186.0,31.0
674,314.0,2197.0,32.0
675,314.0,2202.0,30.0
676,315.0,2205.0,30.0
677,313.0,2169.0,30.0
678,291.0,2062.0,28.0
679,298.0,2076.0,28.0
680,300.0,2065.0,28.0
681,302.0,2093.0,28.0
682,300.0,2080.0,28.0
683,311.0,2147.0,28.0
684,315.0,2168.0,28.0
685,317.0,2165.0,28.0
686,317.0,2166.0,28.0
687,317.0,2173.0,29.0
688,309.0,2124.0,28.0
689,304.0,2146.0,28.0
690,303.0,2145.0,28.0
691,313.0,2194.0,28.0
692,301.0,2132.0,28.0
693,278.0,2076.0,27.0
694,279.0,2076.0,27.0
695,284.0,2129.0,28.0
696,281.0,2091.0,28.0
697,280.0,2060.0,27.0
698,267.0,1976.0,26.0
699,268.0,1992.0,26.0
700,266.0,1995.0,26.0
701,270.0,2004.0,26.0
702,261.0,1960.0,25.0
703,252.0,1919.0,23.0
704,249.0,1915.0,23.0
705,250.0,1933.0,23.0
706,245.0,1877.0,21.0
707,248.0,1922.0,21.0
708,245.0,1848.0,21.0
709,244.0,1856.0,21.0
710,244.0,1848.0,21.0
711,241.0,1809.0,21.0
712,248.0,1851.0,21.0
713,252.0,1860.0,20.0
714,266.0,1910.0,21.0
715,266.0,1893.0,21.0
716,257.0,1846.0,21.0
717,257.0,1847.0,21.0
718,257.0,1870.0,21.0
719,267.0,1919.0,21.0
720,261.0,1917.0,21.0
721,255.0,1866.0,21.0
722,256.0,1890.0,20.0
723,261.0,1873.0,20.0
724,266.0,1913.0,20.0
725,264.0,1888.0,20.0
726,265.0,1899.0,20.0
727,264.0,1898.0,20.0
728,255.0,1889.0,19.0
729,260.0,1925.0,19.0
730,257.0,1901.0,19.0
731,265.0,1941.0,18.0
732,260.0,1908.0,10.0
733,253.0,1859.0,9.0
734,254.0,1883.0,9.0
735,247.0,1820.0,9.0
736,250.0,1854.0,9.0
737,250.0,1847.0,11.0
738,243.0,1781.0,11.0
739,247.0,1843.0,11.0
740,245.0,1809.0,11.0
741,256.0,1861.0,10.0
742,257.0,1857.0,10.0
743,257.0,1847.0,10.0
744,257.0,1849.0,10.0
745,257.0,1858.0,11.0
746,258.0,1871.0,11.0
747,257.0,1865.0,11.0
748,254.0,1901.0,13.0
749,254.0,1897.0,13.0
750,269.0,1969.0,15.0
751,268.0,1965.0,15.0
752,277.0,1991.0,15.0
753,270.0,1963.0,15.0
754,271.0,1990.0,15.0
755,272.0,1973.0,15.0
756,280.0,2024.0,15.0
757,266.0,1934.0,15.0
758,263.0,1935.0,14.0
759,262.0,1931.0,14.0
760,268.0,1999.0,14.0
761,272.0,2033.0,14.0
762,273.0,2049.0,14.0
763,272.0,2047.0,16.0
764,282.0,2104.0,18.0
765,271.0,2039.0,18.0
766,282.0,2136.0,18.0
767,282.0,2128.0,18.0
768,283.0,2121.0,18.0
769,284.0,2097.0,18.0
770,290.0,2133.0,20.0
771,291.0,2165.0,21.0
772,292.0,2190.0,21.0
773,293.0,2187.0,22.0
774,296.0,2191.0,22.0
775,293.0,2179.0,22.0
776,295.0,2207.0,22.0
777,297.0,2213.0,22.0
778,317.0,2327.0,23.0
779,338.0,2367.0,25.0
780,334.0,2342.0,22.0
781,334.0,2307.0,22.0
782,341.0,2338.0,22.0
783,345.0,2367.0,21.0
784,353.0,2432.0,21.0
785,352.0,2421.0,22.0
786,351.0,2395.0,22.0
787,341.0,2327.0,22.0
788,328.0,2262.0,21.0
789,337.0,2323.0,21.0
790,343.0,2375.0,21.0
791,352.0,2428.0,21.0
792,341.0,2366.0,23.0
793,332.0,2318.0,23.0
794,334.0,2315.0,23.0
795,333.0,2306.0,23.0
796,332.0,2295.0,23.0
797,328.0,2280.0,23.0
798,317.0,2196.0,23.0
799,327.0,2243.0,24.0
800,326.0,2227.0,24.0
801,330.0,2256.0,24.0
802,330.0,2256.0,24.0
803,330.0,2222.0,24.0
804,332.0,2238.0,22.0
805,330.0,2247.0,22.0
806,345.0,2282.0,24.0
807,347.0,2281.0,24.0
808,346.0,2269.0,24.0
809,349.0,2270.0,24.0
810,347.0,2247.0,24.0
811,347.0,2248.0,24.0
812,346.0,2237.0,24.0
813,344.0,2221.0,25.0
814,340.0,2218.0,25.0
815,329.0,2213.0,26.0
816,327.0,2199.0,26.0
817,332.0,2238.0,26.0
818,332.0,2247.0,26.0
819,333.0,2261.0,26.0
820,341.0,2304.0,27.0
821,344.0,2312.0,27.0
822,341.0,2246.0,27.0
823,341.0,2245.0,27.0
824,328.0,2149.0,24.0
825,327.0,2159.0,24.0
826,309.0,2075.0,24.0
827,311.0,2087.0,24.0
828,309.0,2060.0,24.0
829,322.0,2096.0,24.0
830,315.0,2065.0,24.0
831,317.0,2084.0,24.0
832,317.0,2083.0,24.0
833,317.0,2096.0,24.0
834,328.0,2116.0,24.0
835,322.0,2058.0,24.0
836,325.0,2069.0,24.0
837,322.0,2008.0,23.0
838,309.0,1943.0,20.0
839,308.0,1943.0,20.0
840,306.0,1910.0,20.0
841,311.0,1951.0,21.0
842,313.0,1971.0,19.0
843,305.0,1949.0,17.0
844,301.0,1931.0,17.0
845,296.0,1890.0,16.0
846,295.0,1878.0,15.0
847,308.0,1937.0,16.0
848,309.0,1943.0,16.0
849,315.0,1993.0,17.0
850,311.0,1950.0,17.0
851,314.0,1965.0,17.0
852,293.0,1868.0,17.0
853,273.0,1826.0,15.0
854,275.0,1858.0,15.0
855,287.0,1948.0,16.0
856,275.0,1908.0,16.0
857,275.0,1921.0,16.0
858,264.0,1846.0,16.0
859,272.0,1916.0,16.0
860,269.0,1911.0,19.0
861,272.0,1933.0,20.0
862,270.0,1929.0,20.0
863,264.0,1904.0,20.0
864,263.0,1906.0,19.0
865,252.0,1851.0,19.0
866,259.0,1873.0,20.0
867,256.0,1841.0,20.0
868,255.0,1828.0,20.0
869,256.0,1837.0,20.0
870,256.0,1823.0,20.0
871,256.0,1834.0,20.0
872,255.0,1820.0,20.0
873,239.0,1741.0,19.0
874,238.0,1763.0,19.0
875,236.0,1748.0,19.0
876,243.0,1787.0,20.0
877,240.0,1795.0,21.0
878,237.0,1785.0,21.0
879,242.0,1812.0,21.0
880,231.0,1787.0,19.0
881,230.0,1793.0,19.0
882,230.0,1821.0,20.0
883,229.0,1825.0,20.0
884,232.0,1820.0,19.0
885,233.0,1833.0,19.0
886,234.0,1844.0,19.0
887,234.0,1832.0,19.0
888,233.0,1824.0,19.0
889,230.0,1795.0,19.0
890,233.0,1795.0,19.0
891,231.0,1747.0,19.0
892,231.0,1737.0,19.0
893,237.0,1759.0,17.0
894,232.0,1724.0,17.0
895,228.0,1695.0,17.0
896,227.0,1688.0,17.0
897,228.0,1669.0,17.0
898,229.0,1692.0,17.0
899,229.0,1690.0,17.0
900,226.0,1688.0,17.0
901,226.0,1682.0,17.0
902,222.0,1669.0,17.0
903,210.0,1632.0,17.0
904,210.0,1642.0,17.0
905,208.0,1622.0,17.0
906,208.0,1640.0,17.0
907,204.0,1605.0,17.0
908,189.0,1581.0,17.0
909,188.0,1595.0,17.0
910,182.0,1562.0,16.0
911,182.0,1564.0,16.0
912,180.0,1538.0,16.0
913,177.0,1531.0,16.0
914,187.0,1580.0,16.0
915,179.0,1531.0,15.0
916,180.0,1535.0,15.0
917,179.0,1494.0,15.0
918,178.0,1490.0,15.0
919,186.0,1532.0,15.0
920,186.0,1523.0,14.0
921,174.0,1488.0,14.0
922,179.0,1514.0,14.0
923,174.0,1450.0,13.0
924,201.0,1580.0,16.0
925,199.0,1583.0,16.0
926,201.0,1633.0,16.0
927,199.0,1631.0,16.0
928,186.0,1425.0,12.0
929,177.0,1357.0,12.0
930,176.0,1351.0,12.0
931,175.0,1365.0,12.0
